Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-2026-1731-38,ocds-dgv273-seacev3-2026-1731-38-2026-09-21T09:59:26.436569-05:00,1187045-1767973,1188324.61,PEN,Soles,2026-03-10T00:00:00-05:00
ocds-dgv273-seacev3-1213192,ocds-dgv273-seacev3-1213192-2026-09-18T10:23:18.111244-05:00,1213192-1788844,189602.4,PEN,Soles,2026-05-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1545-3,ocds-dgv273-seacev3-2026-1545-3-2026-09-18T10:23:17.989308-05:00,1190303-1772220,3478653.95,PEN,Soles,2026-03-27T00:00:00-05:00
ocds-dgv273-seacev3-1189599,ocds-dgv273-seacev3-1189599-2026-09-18T10:23:17.931722-05:00,1189599-20601305772,399750.0,PEN,Soles,2026-03-03T00:00:00-05:00
ocds-dgv273-seacev3-2026-174-1,ocds-dgv273-seacev3-2026-174-1-2026-09-18T10:23:17.187296-05:00,1186211-1765800,4677956.18,PEN,Soles,2026-02-16T00:00:00-05:00
ocds-dgv273-seacev3-1195068,ocds-dgv273-seacev3-1195068-2026-09-18T10:23:06.896226-05:00,1195068-20604191522,305021.49,PEN,Soles,2026-03-17T00:00:00-05:00
ocds-dgv273-seacev3-1195068,ocds-dgv273-seacev3-1195068-2026-09-18T10:23:06.896226-05:00,1195068-20571408954,321075.25,PEN,Soles,2026-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2026-227-13,ocds-dgv273-seacev3-2026-227-13-2026-09-18T10:23:06.846551-05:00,1190861-1773653,860301.03,PEN,Soles,2026-03-27T00:00:00-05:00
ocds-dgv273-seacev3-1188268,ocds-dgv273-seacev3-1188268-2026-09-18T10:23:06.831945-05:00,1188268-20535923095,100000.0,PEN,Soles,2026-03-05T00:00:00-05:00
ocds-dgv273-seacev3-2026-1760-2,ocds-dgv273-seacev3-2026-1760-2-2026-09-18T10:23:06.020529-05:00,1187687-1771614,10950000.0,PEN,Soles,2026-03-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-10466-23,ocds-dgv273-seacev3-2026-10466-23-2026-09-18T10:23:06.005198-05:00,1187437-20573325908,476280.0,PEN,Soles,2026-02-20T00:00:00-05:00
ocds-dgv273-seacev3-2026-200-13,ocds-dgv273-seacev3-2026-200-13-2026-09-18T10:22:55.689999-05:00,1189640-1769641,143546.52,PEN,Soles,2026-03-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-521-1,ocds-dgv273-seacev3-2026-521-1-2026-09-18T10:22:55.642897-05:00,1187924-20602781250,68539.58,PEN,Soles,2026-03-11T00:00:00-05:00
ocds-dgv273-seacev3-2026-521-1,ocds-dgv273-seacev3-2026-521-1-2026-09-18T10:22:55.642897-05:00,1187924-20612272060,85163.9,PEN,Soles,2026-03-11T00:00:00-05:00
ocds-dgv273-seacev3-2026-200-10,ocds-dgv273-seacev3-2026-200-10-2026-09-18T10:22:55.363027-05:00,1186073-1765374,1495197.77,PEN,Soles,2026-02-18T00:00:00-05:00
ocds-dgv273-seacev3-1215893,ocds-dgv273-seacev3-1215893-2026-09-18T10:22:45.130645-05:00,1215893-10316508991,111650.0,PEN,Soles,2026-05-22T00:00:00-05:00
ocds-dgv273-seacev3-1189017,ocds-dgv273-seacev3-1189017-2026-09-18T10:22:44.352275-05:00,1189017-20526944934,1815900.0,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-1190920,ocds-dgv273-seacev3-1190920-2026-09-18T10:22:44.315887-05:00,1190920-20611418681,58000.0,PEN,Soles,2026-03-06T00:00:00-05:00
ocds-dgv273-seacev3-2026-51-24,ocds-dgv273-seacev3-2026-51-24-2026-09-18T10:22:44.281586-05:00,1190026-20449314868,677275.08,PEN,Soles,2026-03-04T00:00:00-05:00
ocds-dgv273-seacev3-1190691,ocds-dgv273-seacev3-1190691-2026-09-18T10:22:44.214302-05:00,1190691-1775702,731000.0,PEN,Soles,2026-04-30T00:00:00-05:00
ocds-dgv273-seacev3-2026-200-17,ocds-dgv273-seacev3-2026-200-17-2026-09-18T10:22:44.093916-05:00,1191224-1769899,62825.59,PEN,Soles,2026-03-16T00:00:00-05:00
ocds-dgv273-seacev3-1212190,ocds-dgv273-seacev3-1212190-2026-09-18T10:22:33.072323-05:00,1212190-20602664164,933787.54,PEN,Soles,2026-05-08T00:00:00-05:00
ocds-dgv273-seacev3-2026-1319-1,ocds-dgv273-seacev3-2026-1319-1-2026-09-18T10:22:32.766065-05:00,1190539-1770146,2041215.27,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-1190868,ocds-dgv273-seacev3-1190868-2026-09-18T10:22:32.749892-05:00,1190868-10011011077,151271.0,PEN,Soles,2026-04-07T00:00:00-05:00
ocds-dgv273-seacev3-1189057,ocds-dgv273-seacev3-1189057-2026-09-18T10:22:32.651699-05:00,1189057-10441035816,133200.0,PEN,Soles,2026-03-03T00:00:00-05:00
ocds-dgv273-seacev3-1188937,ocds-dgv273-seacev3-1188937-2026-09-18T10:22:32.494512-05:00,1188937-1767566,4348803.61,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-1828-1,ocds-dgv273-seacev3-2026-1828-1-2026-09-18T10:22:32.439811-05:00,1187662-10009315336,298838.51,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2026-1158-1,ocds-dgv273-seacev3-2026-1158-1-2026-09-18T10:22:32.407326-05:00,1186368-20601898871,768706.0,PEN,Soles,2026-02-12T00:00:00-05:00
ocds-dgv273-seacev3-1240633,ocds-dgv273-seacev3-1240633-2026-09-18T10:22:26.344122-05:00,1240633-1819928,486442.11,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1215830,ocds-dgv273-seacev3-1215830-2026-09-18T10:22:22.488213-05:00,1215830-10107203937,138233.33,PEN,Soles,2026-06-12T00:00:00-05:00
ocds-dgv273-seacev3-1216070,ocds-dgv273-seacev3-1216070-2026-09-18T10:22:22.412940-05:00,1216070-10440801906,120156.67,PEN,Soles,2026-06-01T00:00:00-05:00
ocds-dgv273-seacev3-1215875,ocds-dgv273-seacev3-1215875-2026-09-18T10:22:22.234860-05:00,1215875-10062321089,138233.33,PEN,Soles,2026-05-27T00:00:00-05:00
ocds-dgv273-seacev3-2026-200199-10,ocds-dgv273-seacev3-2026-200199-10-2026-09-18T10:22:22.059017-05:00,1188414-1768330,3911527.44,PEN,Soles,2026-03-05T00:00:00-05:00
ocds-dgv273-seacev3-2026-1731-7,ocds-dgv273-seacev3-2026-1731-7-2026-09-18T10:22:22.010547-05:00,1188425-10403969490,950370.0,PEN,Soles,2026-03-03T19:11:15-05:00
ocds-dgv273-seacev3-2026-685-5,ocds-dgv273-seacev3-2026-685-5-2026-09-18T10:22:21.903155-05:00,1190145-1769514,1031587.59,PEN,Soles,2026-03-09T00:00:00-05:00
ocds-dgv273-seacev3-1187572,ocds-dgv273-seacev3-1187572-2026-09-18T10:22:21.747476-05:00,1187572-20338570041,192599.6,PEN,Soles,2026-03-04T00:00:00-05:00
ocds-dgv273-seacev3-1186699,ocds-dgv273-seacev3-1186699-2026-09-18T10:22:21.689645-05:00,1186699-20607343871,739099.5,PEN,Soles,2026-02-16T00:00:00-05:00
ocds-dgv273-seacev3-1186829,ocds-dgv273-seacev3-1186829-2026-09-18T10:22:21.390695-05:00,1186829-1767682,3624645.25,PEN,Soles,2026-03-11T00:00:00-05:00
ocds-dgv273-seacev3-1247456,ocds-dgv273-seacev3-1247456-2026-09-18T10:22:11.420063-05:00,1247456-1833043,618354.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1215876,ocds-dgv273-seacev3-1215876-2026-09-18T10:22:11.210423-05:00,1215876-10700030372,109523.33,PEN,Soles,2026-05-28T00:00:00-05:00
ocds-dgv273-seacev3-1189234,ocds-dgv273-seacev3-1189234-2026-09-18T10:22:10.541546-05:00,1189234-20407842929,3505682.27,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-1187904,ocds-dgv273-seacev3-1187904-2026-09-18T10:22:10.180163-05:00,1187904-10271516717,174088.2,PEN,Soles,2026-02-24T00:00:00-05:00
ocds-dgv273-seacev3-1189439,ocds-dgv273-seacev3-1189439-2026-09-17T10:20:16.778737-05:00,1189439-20605631062,210000.0,PEN,Soles,2026-03-05T00:00:00-05:00
ocds-dgv273-seacev3-1197767,ocds-dgv273-seacev3-1197767-2026-09-17T10:19:55.539137-05:00,1197767-1775983,60821239.86,PEN,Soles,2026-04-10T00:00:00-05:00
ocds-dgv273-seacev3-2026-685-1,ocds-dgv273-seacev3-2026-685-1-2026-09-17T10:19:55.372442-05:00,1189428-1769600,675448.69,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-1584-5,ocds-dgv273-seacev3-2026-1584-5-2026-09-17T10:19:55.065523-05:00,1187219-1766824,3034635.1,PEN,Soles,2026-02-23T00:00:00-05:00
ocds-dgv273-seacev3-1249495,ocds-dgv273-seacev3-1249495-2026-09-17T10:19:47.583121-05:00,1249495-1832115,818853.8,PEN,Soles,2026-09-14T00:00:00-05:00
ocds-dgv273-seacev3-1197346,ocds-dgv273-seacev3-1197346-2026-09-17T10:19:32.643806-05:00,1197346-1773773,261670.84,PEN,Soles,2026-03-24T00:00:00-05:00
ocds-dgv273-seacev3-2026-200145-6,ocds-dgv273-seacev3-2026-200145-6-2026-09-17T10:19:32.455865-05:00,1190984-1770353,2554238.24,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-1890-10,ocds-dgv273-seacev3-2026-1890-10-2026-09-17T10:19:32.400061-05:00,1186102-20486279436,185002.8,PEN,Soles,2026-02-16T00:00:00-05:00
ocds-dgv273-seacev3-1188353,ocds-dgv273-seacev3-1188353-2026-09-17T10:19:21.905725-05:00,1188353-1769957,1742907.21,PEN,Soles,2026-03-19T00:00:00-05:00
ocds-dgv273-seacev3-1186175,ocds-dgv273-seacev3-1186175-2026-09-17T10:19:09.942849-05:00,1186175-20603823363,800169.15,PEN,Soles,2026-02-11T18:43:50-05:00
ocds-dgv273-seacev3-1217953,ocds-dgv273-seacev3-1217953-2026-09-16T10:19:09.861197-05:00,1217953-1799654,6622764.57,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1188462,ocds-dgv273-seacev3-1188462-2026-09-16T10:19:09.295776-05:00,1188462-1768036,1273468.11,PEN,Soles,2026-02-27T00:00:00-05:00
ocds-dgv273-seacev3-1246483,ocds-dgv273-seacev3-1246483-2026-09-16T10:18:29.845524-05:00,1246483-1831444,825737.4,PEN,Soles,2026-09-11T00:00:00-05:00
ocds-dgv273-seacev3-1187028,ocds-dgv273-seacev3-1187028-2026-09-16T10:18:25.139418-05:00,1187028-20606512857,775734.0,PEN,Soles,2026-02-19T00:00:00-05:00
ocds-dgv273-seacev3-2026-1908-25,ocds-dgv273-seacev3-2026-1908-25-2026-09-16T10:18:14.394256-05:00,1191950-20489466741,4202588.96,PEN,Soles,2026-08-13T00:00:00-05:00
ocds-dgv273-seacev3-2026-10553-4,ocds-dgv273-seacev3-2026-10553-4-2026-09-16T10:18:13.654234-05:00,1186081-20604226342,267214.82,PEN,Soles,2026-05-27T00:00:00-05:00
ocds-dgv273-seacev3-2026-10553-4,ocds-dgv273-seacev3-2026-10553-4-2026-09-16T10:18:13.654234-05:00,1186081-20525728600,268000.0,PEN,Soles,2026-08-31T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-10425229104,145872.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20523905679,225300.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20600008812,201484.8,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20602808441,1015000.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20607502863,820495.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20610676538,205600.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20610738771,1315000.0,PEN,Soles,2026-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-10407558095,678000.0,PEN,Soles,2026-04-14T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20419136906,142348.8,PEN,Soles,2026-04-14T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1187290-20609915481,139000.0,PEN,Soles,2026-04-14T00:00:00-05:00
ocds-dgv273-seacev3-2026-505-9,ocds-dgv273-seacev3-2026-505-9-2026-09-16T10:18:13.338420-05:00,1202359-20602096808,299000.0,PEN,Soles,2026-04-20T00:00:00-05:00
ocds-dgv273-seacev3-1191993,ocds-dgv273-seacev3-1191993-2026-09-16T10:18:02.605191-05:00,1191993-1774920,344693.01,PEN,Soles,2026-03-30T00:00:00-05:00
ocds-dgv273-seacev3-2026-20-20,ocds-dgv273-seacev3-2026-20-20-2026-09-16T10:18:02.564221-05:00,1191321-1789385,744856.0,PEN,Soles,2026-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2026-20-20,ocds-dgv273-seacev3-2026-20-20-2026-09-16T10:18:02.564221-05:00,1191321-20499358114,1955012.5,PEN,Soles,2026-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2026-1038-4,ocds-dgv273-seacev3-2026-1038-4-2026-09-16T10:18:02.436256-05:00,1186334-1765874,1755122.14,PEN,Soles,2026-02-17T00:00:00-05:00
ocds-dgv273-seacev3-1190386,ocds-dgv273-seacev3-1190386-2026-09-13T12:05:37.513954-05:00,1190386-20523905679,238289.0,PEN,Soles,2026-03-19T00:00:00-05:00
ocds-dgv273-seacev3-2026-617-1,ocds-dgv273-seacev3-2026-617-1-2026-09-13T12:05:37.327055-05:00,1187258-1767141,4688020.83,PEN,Soles,2026-02-23T00:00:00-05:00
ocds-dgv273-seacev3-1187146,ocds-dgv273-seacev3-1187146-2026-09-13T12:05:37.093404-05:00,1187146-1771026,31071271.61,PEN,Soles,2026-03-18T00:00:00-05:00
ocds-dgv273-seacev3-1239720,ocds-dgv273-seacev3-1239720-2026-09-13T12:05:29.035237-05:00,1239720-1818434,878671.54,PEN,Soles,2026-08-10T00:00:00-05:00
ocds-dgv273-seacev3-1191408,ocds-dgv273-seacev3-1191408-2026-09-13T12:05:27.222546-05:00,1191408-1772282,724854.77,PEN,Soles,2026-04-01T00:00:00-05:00
ocds-dgv273-seacev3-1187326,ocds-dgv273-seacev3-1187326-2026-09-13T12:05:26.215703-05:00,1187326-20482663045,3452774.34,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-42040-1,ocds-dgv273-seacev3-2026-42040-1-2026-09-13T12:05:14.820718-05:00,1187890-20611902329,104236.0,PEN,Soles,2026-02-24T00:00:00-05:00
ocds-dgv273-seacev3-1187643,ocds-dgv273-seacev3-1187643-2026-09-13T12:05:14.809921-05:00,1187643-20558080150,819500.0,PEN,Soles,2026-04-10T00:00:00-05:00
ocds-dgv273-seacev3-2026-743-6,ocds-dgv273-seacev3-2026-743-6-2026-09-13T12:05:14.655545-05:00,1186436-10401496489,5256000.0,PEN,Soles,2026-07-31T00:00:00-05:00
ocds-dgv273-seacev3-1190538,ocds-dgv273-seacev3-1190538-2026-09-13T12:05:03.972774-05:00,1190538-20608837630,1252467.4,PEN,Soles,2026-04-14T00:00:00-05:00
ocds-dgv273-seacev3-1187282,ocds-dgv273-seacev3-1187282-2026-09-13T12:05:03.631047-05:00,1187282-1767004,6126248.19,PEN,Soles,2026-02-23T00:00:00-05:00
ocds-dgv273-seacev3-1220959,ocds-dgv273-seacev3-1220959-2026-09-13T12:04:53.971697-05:00,1220959-20539144899,1602515.54,PEN,Soles,2026-05-29T00:00:00-05:00
ocds-dgv273-seacev3-1216773,ocds-dgv273-seacev3-1216773-2026-09-13T12:04:53.384081-05:00,1216773-20555098759,1764000.0,PEN,Soles,2026-06-01T00:00:00-05:00
ocds-dgv273-seacev3-1189878,ocds-dgv273-seacev3-1189878-2026-09-13T12:04:52.291465-05:00,1189878-1769971,1885025.36,PEN,Soles,2026-03-11T00:00:00-05:00
ocds-dgv273-seacev3-1186088,ocds-dgv273-seacev3-1186088-2026-09-13T12:04:52.026696-05:00,1186088-1766314,345369.8,PEN,Soles,2026-02-19T00:00:00-05:00
ocds-dgv273-seacev3-2026-20002-64,ocds-dgv273-seacev3-2026-20002-64-2026-09-13T12:04:51.970368-05:00,1186836-20605428780,200000.0,PEN,Soles,2026-02-19T00:00:00-05:00
ocds-dgv273-seacev3-1187881,ocds-dgv273-seacev3-1187881-2026-09-13T12:04:51.749393-05:00,1187881-1767542,331810.29,PEN,Soles,2026-03-04T00:00:00-05:00
ocds-dgv273-seacev3-1235008,ocds-dgv273-seacev3-1235008-2026-09-13T12:04:41.885550-05:00,1235008-1817017,1409340.48,PEN,Soles,2026-08-28T00:00:00-05:00
ocds-dgv273-seacev3-1189809,ocds-dgv273-seacev3-1189809-2026-09-13T12:04:41.852194-05:00,1189809-1772192,2546914.15,PEN,Soles,2026-03-18T00:00:00-05:00
ocds-dgv273-seacev3-2026-1631-2,ocds-dgv273-seacev3-2026-1631-2-2026-09-13T12:04:41.685907-05:00,1186470-1766049,355970.94,PEN,Soles,2026-02-18T00:00:00-05:00
ocds-dgv273-seacev3-1188365,ocds-dgv273-seacev3-1188365-2026-09-13T12:04:29.892993-05:00,1188365-20511037001,242100.0,PEN,Soles,2026-02-24T00:00:00-05:00
ocds-dgv273-seacev3-1187275,ocds-dgv273-seacev3-1187275-2026-09-13T12:04:29.680498-05:00,1187275-1767499,82200.0,PEN,Soles,2026-03-04T00:00:00-05:00
ocds-dgv273-seacev3-2026-200055-1,ocds-dgv273-seacev3-2026-200055-1-2026-09-11T10:24:15.026593-05:00,1187037-20486417766,8318162.41,PEN,Soles,2026-02-24T00:00:00-05:00
ocds-dgv273-seacev3-1190267,ocds-dgv273-seacev3-1190267-2026-09-11T10:24:14.953296-05:00,1190267-1768356,2840035.58,PEN,Soles,2026-03-03T00:00:00-05:00
ocds-dgv273-seacev3-1189516,ocds-dgv273-seacev3-1189516-2026-09-11T10:24:04.533108-05:00,1189516-1769065,1946397.09,PEN,Soles,2026-03-05T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20100017149,577255.45,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20100049008,1823588.16,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20100114420,529820.0,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20100163986,1080784.13,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20105887079,50526.77,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1189852,ocds-dgv273-seacev3-1189852-2026-09-11T10:23:52.066379-05:00,1189852-20113367360,95580.0,PEN,Soles,2026-02-25T00:00:00-05:00
