Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,compiledRelease/awards/0/items/0/position,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Descripción,compiledRelease/awards/0/items/0/statusDetails,compiledRelease/awards/0/items/0/status,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Esquema,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Cantidad,compiledRelease/awards/0/items/0/totalValue/amount,compiledRelease/awards/0/items/0/totalValue/currency,compiledRelease/awards/0/items/0/totalValue/currencyName,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Nombre,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Esquema
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085-1780319,21248241,1,"CONTRATACION PARA LA EJECUCION DE LA OBRA: ¿CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL, DE CENTRO POBLADO CHALLUARACRA DISTRITO DE HUAMBOS DE LA PROVINCIA DE CHOTA DEL DEPARTAMENTO DE CAJAMARCA¿ CON CUI 2669678",CONTRATADO,active,7212110100233077,CONSTRUCCION DE LOCAL COMUNAL,CUBSO,1.0,493249.74,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1188293,ocds-dgv273-seacev3-1188293-2026-09-23T10:18:02.453935-05:00,1188293-20606558440,21203308,1,"SERVICIO DE IMPRIMACIÓN ASFÁLTICA MC-30 PARA LA EJECUCIÓN DE LA ACTIVIDAD: ¿TERCERA ETAPA DEL MANTENIMIENTO DE LA TRANSITABILIDAD VEHICULAR DE DIVERSAS CALLES Y AVENIDAS DEL DISTRITO DE CHICLAYO, PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBAYEQUE",CONTRATADO,active,7214100100228204,SERVICIO DE IMPRIMACION ASFALTICA,CUBSO,50478.75,242298.0,PEN,Soles,25,M2,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187725,ocds-dgv273-seacev3-1187725-2026-09-23T10:18:02.437183-05:00,1187725-1767793,21201762,1,"CONTRATACION PARA LA JECUCION DE LA OBRA: ""CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN ESPACIOS SALUDABLE EN EL JR. SAN PEDRO Y AV. MIGUEL GRAU EN LA LOCALIDAD DE CAYHUAYNA ALTA DEL DISTRITO DE PILLCO MARCA"" CON CUI N° 2644767",CONTRATADO,active,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,557249.3,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187256,ocds-dgv273-seacev3-1187256-2026-09-23T10:18:02.325694-05:00,1187256-1770808,21198368,1,"ADQUISICION DE EQUIPOS COMPLEMENTARIOS; EN EL(LA) INDUSTRIA PANIFICADORA DE LA ASOCIACION DE FAMILIAS DESPLAZADAS HIJOS DE AYMARAES - ASFADEA DEL DISTRITO DE MARCONA, PROVINCIA NASCA, DEPARTAMENTO ICA, CUI N° 2657943",ADJUDICADO,pending,4810151700385576,HORNO INDUSTRIAL A GAS COMBINADO DE 20 BANDEJAS PARA COCCION DE ALIMENTOS,CUBSO,1.0,919500.0,PEN,Nuevos Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1612-1,ocds-dgv273-seacev3-2026-1612-1-2026-09-23T10:18:02.293227-05:00,1186709-1772946,21200302,1,"EJECUCION DEL PROYECTO DE INVERSION: RECUPERACION POR DESASTRES DEL SERVICIO DE EDUCACION SECUNDARIA EN LA INSTITUCIÓN EDUCATIVA CIRO ALEGRIA, EN LA LOCALIDAD DE BUENOS AIRES DEL DISTRITO DE BUENOS AIRES - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA, CUI 2529115",CONTRATADO,active,7212140600233069,CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,20614976.71,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1186562,ocds-dgv273-seacev3-1186562-2026-09-23T10:18:02.273224-05:00,1186562-1768212,21197864,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: RENOVACION DE PAVIMENTO; EN EL(LA) EN EL AMBITO DE LAS VIAS LOCALES DE LA ZONA 41 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA CON CUI N° 2705668",CONTRATADO,active,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,2859385.31,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-10403040776,21211300,5,CASACA NEGRA,CONTRATADO,active,,,,1.0,43800.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20297955170,21211299,4,UNIFORME DE NAVEGACIÓN,CONTRATADO,active,,,,1.0,109150.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20306246535,21211297,2,UNIFORME DE DIARIO INVIERNO FEMENINO Y MASCULINO,CONTRATADO,active,,,,1.0,91980.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20557976095,21211296,1,"BLUSAS, CAMISAS Y PANTALONES BLANCOS",CONTRATADO,active,,,,1.0,49915.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
