Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema,_mes_origen
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244307,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244308,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244310,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244300,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244301,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244303,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244304,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244311,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244312,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244313,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244315,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244316,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244317,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244318,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244319,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244302,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244306,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,21244305,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184766,ocds-dgv273-seacev3-1184766-2026-09-23T10:16:56.802672-05:00,1184766-20516765641,21195533,72121406.0,Servicios de construcción de escuelas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1234-1,ocds-dgv273-seacev3-2026-1234-1-2026-09-23T10:16:56.688458-05:00,1184914-20605245146,21195784,15101505.0,Diesel,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214329,ocds-dgv273-seacev3-1214329-2026-09-18T10:23:18.446848-05:00,1214329-10164778105,21273064,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215414,ocds-dgv273-seacev3-1215414-2026-09-18T10:23:18.304024-05:00,1215414-10285771175,21276609,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215821,ocds-dgv273-seacev3-1215821-2026-09-18T10:23:18.125939-05:00,1215821-10215486767,21277752,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214536,ocds-dgv273-seacev3-1214536-2026-09-18T10:23:18.071333-05:00,1214536-10004911771,21273717,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215437,ocds-dgv273-seacev3-1215437-2026-09-18T10:23:07.544026-05:00,1215437-10008232046,21276630,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215341,ocds-dgv273-seacev3-1215341-2026-09-18T10:23:07.333917-05:00,1215341-10156463979,21276362,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214501,ocds-dgv273-seacev3-1214501-2026-09-18T10:23:07.237159-05:00,1214501-10079206682,21273558,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214573,ocds-dgv273-seacev3-1214573-2026-09-18T10:23:07.223408-05:00,1214573-10103516574,21273845,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215442,ocds-dgv273-seacev3-1215442-2026-09-18T10:23:07.191195-05:00,1215442-10423259774,21276619,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214765,ocds-dgv273-seacev3-1214765-2026-09-18T10:22:56.230820-05:00,1214765-10334013257,21274178,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185714,ocds-dgv273-seacev3-1185714-2026-09-18T10:22:55.269747-05:00,1185714-20614446081,21199221,15101505.0,Diesel,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185714,ocds-dgv273-seacev3-1185714-2026-09-18T10:22:55.269747-05:00,1185714-20614446081,21199222,15101506.0,Gasolina o Petróleo,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185683,ocds-dgv273-seacev3-1185683-2026-09-18T10:22:55.214873-05:00,1185683-20609345587,21197040,15101506.0,Gasolina o Petróleo,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185683,ocds-dgv273-seacev3-1185683-2026-09-18T10:22:55.214873-05:00,1185683-20609345587,21197041,15101505.0,Diesel,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214602,ocds-dgv273-seacev3-1214602-2026-09-18T10:22:45.164822-05:00,1214602-10293259653,21273890,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214564,ocds-dgv273-seacev3-1214564-2026-09-18T10:22:44.855252-05:00,1214564-10023883037,21273736,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214556,ocds-dgv273-seacev3-1214556-2026-09-18T10:22:44.715861-05:00,1214556-10026134884,21273734,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215803,ocds-dgv273-seacev3-1215803-2026-09-18T10:22:44.550471-05:00,1215803-10074886758,21277725,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184422,ocds-dgv273-seacev3-1184422-2026-09-18T10:22:43.939430-05:00,1184422-20561239542,21194170,72121101.0,Servicios de construcción de nuevos edificios comerciales y de oficinas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1210569,ocds-dgv273-seacev3-1210569-2026-09-18T10:22:33.252107-05:00,1210569-20455005869,21262653,50192109.0,"Papas fritas en hojuelas y al hilo, mix de bocaditos o galletas saladas",UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1190087,ocds-dgv273-seacev3-1190087-2026-09-18T10:22:32.782324-05:00,1190087-1767957,21208016,72141106.0,Servicios de construcción de caminos de grava o tierra,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1250936,ocds-dgv273-seacev3-1250936-2026-09-18T10:22:29.321274-05:00,1250936-1833538,21371764,81101508.0,Ingeniería arquitectónica,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214538,ocds-dgv273-seacev3-1214538-2026-09-18T10:22:23.072758-05:00,1214538-10405336826,21273635,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215580,ocds-dgv273-seacev3-1215580-2026-09-18T10:22:22.933621-05:00,1215580-10424298731,21277168,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214433,ocds-dgv273-seacev3-1214433-2026-09-18T10:22:22.758755-05:00,1214433-10425434115,21273398,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214371,ocds-dgv273-seacev3-1214371-2026-09-18T10:22:22.592549-05:00,1214371-10266128822,21273073,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215478,ocds-dgv273-seacev3-1215478-2026-09-18T10:22:22.248989-05:00,1215478-10224942996,21276639,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1545-1,ocds-dgv273-seacev3-2026-1545-1-2026-09-18T10:22:21.672582-05:00,1184738-20602296807,21195478,72141121.0,Servicios de construcción de tuberías principales de agua,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-422-15,ocds-dgv273-seacev3-2026-422-15-2026-09-18T10:22:21.375500-05:00,1185700-20455403759,21199194,50131702.0,Leche o productos de mantequilla estables sin refrigerar,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214402,ocds-dgv273-seacev3-1214402-2026-09-18T10:22:10.761653-05:00,1214402-15140349604,21273314,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214419,ocds-dgv273-seacev3-1214419-2026-09-18T10:22:10.642971-05:00,1214419-10040578949,21273328,80131502.0,Alquiler de instalaciones comerciales o industriales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184613,ocds-dgv273-seacev3-1184613-2026-09-17T10:19:21.455014-05:00,1184613-1762791,21195217,72121203.0,Servicios de construcción de silos y de edificaciones para servicio agrícola,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184703,ocds-dgv273-seacev3-1184703-2026-09-17T10:19:21.082535-05:00,1184703-1763415,21195457,81101515.0,Ingeniería de infraestructura de plantas o instalaciones,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184475,ocds-dgv273-seacev3-1184475-2026-09-17T10:19:20.959120-05:00,1184475-20532556121,21194377,81101507.0,Ingeniería de presas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185159,ocds-dgv273-seacev3-1185159-2026-09-17T10:19:09.849016-05:00,1185159-1767994,21196574,72141121.0,Servicios de construcción de tuberías principales de agua,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10352-1,ocds-dgv273-seacev3-2026-10352-1-2026-09-16T10:18:59.300666-05:00,1185175-20600979630,21196628,15101505.0,Diesel,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184897,ocds-dgv273-seacev3-1184897-2026-09-13T12:05:37.258337-05:00,1184897-1762623,21195754,72121101.0,Servicios de construcción de nuevos edificios comerciales y de oficinas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1295-10,ocds-dgv273-seacev3-2026-1295-10-2026-09-13T12:05:26.334745-05:00,1185825-20570527755,21197229,72121101.0,Servicios de construcción de nuevos edificios comerciales y de oficinas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1242638,ocds-dgv273-seacev3-1242638-2026-09-13T12:05:19.754778-05:00,1242638-1822521,21350906,81101510.0,Ingeniería de carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185698,ocds-dgv273-seacev3-1185698-2026-09-13T12:05:14.759136-05:00,1185698-1764593,21199191,72153102.0,Servicios de construcción de campos deportivos interiores,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-999-3,ocds-dgv273-seacev3-2026-999-3-2026-09-13T12:05:03.375062-05:00,1184886-1763938,21195668,72121408.0,Servicios de construcción de estadios,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1295-11,ocds-dgv273-seacev3-2026-1295-11-2026-09-13T12:04:52.008815-05:00,1185839-1765080,21199372,72121103.0,Servicios de renovación y reparación de edificios comerciales y de oficinas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184529,ocds-dgv273-seacev3-1184529-2026-09-13T12:04:29.458628-05:00,1184529-20607753467,21194646,80141607.0,Gestión de eventos,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184650,ocds-dgv273-seacev3-1184650-2026-09-13T12:04:29.425951-05:00,1184650-1762422,21195274,72141003.0,Servicios de mantenimiento de pistas y carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1186085,ocds-dgv273-seacev3-1186085-2026-09-10T10:20:23.069866-05:00,1186085-1764315,21197479,72141003.0,Servicios de mantenimiento de pistas y carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1247575,ocds-dgv273-seacev3-1247575-2026-09-09T10:24:35.882535-05:00,1247575-20525183778,21363607,78101802.0,Servicios de transporte regional o nacional en camión,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1205782,ocds-dgv273-seacev3-1205782-2026-09-09T10:23:54.101914-05:00,1205782-10106570278,21250224,80101505.0,Desarrollo de objetivos o políticas corporativas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184761,ocds-dgv273-seacev3-1184761-2026-09-09T10:23:42.687481-05:00,1184761-10176407471,21195510,72141106.0,Servicios de construcción de caminos de grava o tierra,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185208,ocds-dgv273-seacev3-1185208-2026-09-07T10:14:48.969321-05:00,1185208-1765043,21196650,81101508.0,Ingeniería arquitectónica,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1235-2,ocds-dgv273-seacev3-2026-1235-2-2026-09-07T10:14:28.177764-05:00,1185664-1765420,21199177,72121505.0,Servicios de construcción de plantas para tratamiento de aguas residuales y aguas servidas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1247014,ocds-dgv273-seacev3-1247014-2026-09-05T13:36:57.365372-05:00,1247014-10712851037,21362434,86101807.0,Desarrollo de fuerza de trabajo del sector administrativo,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2409-49,ocds-dgv273-seacev3-2026-2409-49-2026-09-05T13:36:26.798058-05:00,1185958-10421556917,21197296,80121610.0,Servicios de recaudacion de deudas a la ley,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185163,ocds-dgv273-seacev3-1185163-2026-09-05T13:35:53.243611-05:00,1185163-20611978228,21196599,78141501.0,Servicios de expedición de carga,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185911,ocds-dgv273-seacev3-1185911-2026-09-04T13:58:05.505788-05:00,1185911-1765128,21199456,72121406.0,Servicios de construcción de escuelas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184595,ocds-dgv273-seacev3-1184595-2026-09-03T10:50:53.090462-05:00,1184595-1762727,21195048,72121203.0,Servicios de construcción de silos y de edificaciones para servicio agrícola,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-614-2,ocds-dgv273-seacev3-2026-614-2-2026-09-03T10:50:53.071410-05:00,1185464-1764518,21198961,72141001.0,Servicios de construcción de pistas y carreteras nuevas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1320-13,ocds-dgv273-seacev3-2026-1320-13-2026-09-03T10:50:35.674070-05:00,1185966-1770317,21197313,72141001.0,Servicios de construcción de pistas y carreteras nuevas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185834,ocds-dgv273-seacev3-1185834-2026-08-30T10:02:47.599381-05:00,1185834-20486604876,21197254,72121403.0,Servicios de construcción de hospitales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-6,ocds-dgv273-seacev3-2026-1922-6-2026-08-30T10:02:47.556174-05:00,1185816-20536000934,21199369,76111501.0,Servicios de limpieza de edificios,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185032,ocds-dgv273-seacev3-1185032-2026-08-30T10:02:36.630142-05:00,1185032-20605122397,21196138,30111601.0,Cemento,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200537-19,ocds-dgv273-seacev3-2026-200537-19-2026-08-30T10:02:36.616365-05:00,1185448-20604554846,21196897,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184855,ocds-dgv273-seacev3-1184855-2026-08-29T10:11:06.402188-05:00,1184855-1763634,21195681,72152707.0,Servicios de construcción de muros de retención,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1244136,ocds-dgv273-seacev3-1244136-2026-08-29T10:10:47.215744-05:00,1244136-20513880465,21354977,72121406.0,Servicios de construcción de escuelas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1190013,ocds-dgv273-seacev3-1190013-2026-08-28T10:30:20.750951-05:00,1190013-1767968,21207657,72141001.0,Servicios de construcción de pistas y carreteras nuevas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1207694,ocds-dgv273-seacev3-1207694-2026-08-28T10:29:50.104236-05:00,1207694-1823419,21254880,72121406.0,Servicios de construcción de escuelas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184341,ocds-dgv273-seacev3-1184341-2026-08-28T10:29:12.181563-05:00,1184341-1760956,21193807,72153605.0,Servicios de remodelación de cocinas y servicios higiénicos,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200433-12,ocds-dgv273-seacev3-2026-200433-12-2026-08-26T10:29:01.229980-05:00,1184883-1767008,21195662,72102103.0,Servicios de exterminación o fumigación,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185406,ocds-dgv273-seacev3-1185406-2026-08-26T10:28:50.153694-05:00,1185406-20531302321,21196874,72121406.0,Servicios de construcción de escuelas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1003013323-5,ocds-dgv273-seacev3-2026-1003013323-5-2026-08-23T10:34:10.993180-05:00,1185071-20603884532,21196176,76111501.0,Servicios de limpieza de edificios,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1062-10,ocds-dgv273-seacev3-2026-1062-10-2026-08-22T10:44:02.750803-05:00,1184483-1767350,21194395,72152605.0,Servicios de montaje y reparación de techos,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184920,ocds-dgv273-seacev3-1184920-2026-08-22T10:43:06.743846-05:00,1184920-20601085845,21195755,72141001.0,Servicios de construcción de pistas y carreteras nuevas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1220132,ocds-dgv273-seacev3-1220132-2026-08-21T10:31:05.504053-05:00,1220132-1800352,21292120,81101510.0,Ingeniería de carreteras,UNSPSC,2026-01_seace_v3_csv_es
