Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación,_mes_origen
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889-1833559,1130853.0,PEN,Soles,2026-09-17T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800-1762914,2280431.61,PEN,Soles,2026-02-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184347,ocds-dgv273-seacev3-1184347-2026-09-23T10:17:19.149679-05:00,1184347-1760666,1995705.59,PEN,Soles,2026-01-23T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185330,ocds-dgv273-seacev3-1185330-2026-09-23T10:17:09.009769-05:00,1185330-1764483,496067.16,PEN,Soles,2026-02-13T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184427,ocds-dgv273-seacev3-1184427-2026-09-23T10:17:08.917590-05:00,1184427-20520775596,154050.0,PEN,Soles,2026-01-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185367,ocds-dgv273-seacev3-1185367-2026-09-23T10:17:08.763445-05:00,1185367-1765326,1369162.87,PEN,Soles,2026-02-16T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185153,ocds-dgv273-seacev3-1185153-2026-09-23T10:17:08.726429-05:00,1185153-1763586,3188024.49,PEN,Soles,2026-02-06T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20220539572,237384.0,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20409314491,228360.0,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20480402929,399219.84,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20490323661,793716.96,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20572205895,816180.24,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20600226569,1253251.44,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20601319676,5639136.0,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20605447920,172000.0,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20605511393,513960.0,PEN,Soles,2026-07-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-99999999999,10102936.72,PEN,Soles,2026-09-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184766,ocds-dgv273-seacev3-1184766-2026-09-23T10:16:56.802672-05:00,1184766-20516765641,72176017.35,PEN,Nuevos Soles,2026-01-30T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1234-1,ocds-dgv273-seacev3-2026-1234-1-2026-09-23T10:16:56.688458-05:00,1184914-20605245146,391680.0,PEN,Soles,2026-02-02T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214329,ocds-dgv273-seacev3-1214329-2026-09-18T10:23:18.446848-05:00,1214329-10164778105,75900.0,PEN,Soles,2026-06-08T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215414,ocds-dgv273-seacev3-1215414-2026-09-18T10:23:18.304024-05:00,1215414-10285771175,99000.0,PEN,Soles,2026-06-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215821,ocds-dgv273-seacev3-1215821-2026-09-18T10:23:18.125939-05:00,1215821-10215486767,70633.33,PEN,Soles,2026-06-05T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214536,ocds-dgv273-seacev3-1214536-2026-09-18T10:23:18.071333-05:00,1214536-10004911771,116600.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215437,ocds-dgv273-seacev3-1215437-2026-09-18T10:23:07.544026-05:00,1215437-10008232046,99000.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215341,ocds-dgv273-seacev3-1215341-2026-09-18T10:23:07.333917-05:00,1215341-10156463979,85800.0,PEN,Soles,2026-06-09T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214501,ocds-dgv273-seacev3-1214501-2026-09-18T10:23:07.237159-05:00,1214501-10079206682,99000.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214573,ocds-dgv273-seacev3-1214573-2026-09-18T10:23:07.223408-05:00,1214573-10103516574,137500.0,PEN,Soles,2026-05-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215442,ocds-dgv273-seacev3-1215442-2026-09-18T10:23:07.191195-05:00,1215442-10423259774,88000.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214765,ocds-dgv273-seacev3-1214765-2026-09-18T10:22:56.230820-05:00,1214765-10334013257,66000.0,PEN,Soles,2026-05-25T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185714,ocds-dgv273-seacev3-1185714-2026-09-18T10:22:55.269747-05:00,1185714-20614446081,1212763.05,PEN,Soles,2026-02-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185683,ocds-dgv273-seacev3-1185683-2026-09-18T10:22:55.214873-05:00,1185683-20609345587,198704.42,PEN,Soles,2026-02-06T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214602,ocds-dgv273-seacev3-1214602-2026-09-18T10:22:45.164822-05:00,1214602-10293259653,121000.0,PEN,Soles,2026-05-25T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214564,ocds-dgv273-seacev3-1214564-2026-09-18T10:22:44.855252-05:00,1214564-10023883037,110000.0,PEN,Soles,2026-05-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214556,ocds-dgv273-seacev3-1214556-2026-09-18T10:22:44.715861-05:00,1214556-10026134884,73700.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215803,ocds-dgv273-seacev3-1215803-2026-09-18T10:22:44.550471-05:00,1215803-10074886758,123880.0,PEN,Soles,2026-06-05T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184422,ocds-dgv273-seacev3-1184422-2026-09-18T10:22:43.939430-05:00,1184422-20561239542,8699561.0,PEN,Soles,2026-02-19T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1210569,ocds-dgv273-seacev3-1210569-2026-09-18T10:22:33.252107-05:00,1210569-20455005869,174499.2,PEN,Soles,2026-05-04T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1190087,ocds-dgv273-seacev3-1190087-2026-09-18T10:22:32.782324-05:00,1190087-1767957,1634000.0,PEN,Nuevos Soles,2026-03-13T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1250936,ocds-dgv273-seacev3-1250936-2026-09-18T10:22:29.321274-05:00,1250936-1833538,185210.22,PEN,Soles,2026-09-17T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214538,ocds-dgv273-seacev3-1214538-2026-09-18T10:22:23.072758-05:00,1214538-10405336826,71500.0,PEN,Soles,2026-05-22T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215580,ocds-dgv273-seacev3-1215580-2026-09-18T10:22:22.933621-05:00,1215580-10424298731,119533.33,PEN,Soles,2026-05-25T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214433,ocds-dgv273-seacev3-1214433-2026-09-18T10:22:22.758755-05:00,1214433-10425434115,115500.0,PEN,Soles,2026-05-20T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214371,ocds-dgv273-seacev3-1214371-2026-09-18T10:22:22.592549-05:00,1214371-10266128822,99000.0,PEN,Soles,2026-05-26T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1215478,ocds-dgv273-seacev3-1215478-2026-09-18T10:22:22.248989-05:00,1215478-10224942996,112200.0,PEN,Soles,2026-06-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1545-1,ocds-dgv273-seacev3-2026-1545-1-2026-09-18T10:22:21.672582-05:00,1184738-20602296807,1405142.74,PEN,Soles,2026-02-04T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-422-15,ocds-dgv273-seacev3-2026-422-15-2026-09-18T10:22:21.375500-05:00,1185700-20455403759,196012.8,PEN,Soles,2026-02-27T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214402,ocds-dgv273-seacev3-1214402-2026-09-18T10:22:10.761653-05:00,1214402-15140349604,121000.0,PEN,Soles,2026-06-05T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1214419,ocds-dgv273-seacev3-1214419-2026-09-18T10:22:10.642971-05:00,1214419-10040578949,84700.0,PEN,Soles,2026-05-26T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184613,ocds-dgv273-seacev3-1184613-2026-09-17T10:19:21.455014-05:00,1184613-1762791,12183169.35,PEN,Soles,2026-02-10T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184703,ocds-dgv273-seacev3-1184703-2026-09-17T10:19:21.082535-05:00,1184703-1763415,180156.85,PEN,Soles,2026-02-05T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184475,ocds-dgv273-seacev3-1184475-2026-09-17T10:19:20.959120-05:00,1184475-20532556121,1151573.3,PEN,Soles,2026-01-15T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185159,ocds-dgv273-seacev3-1185159-2026-09-17T10:19:09.849016-05:00,1185159-1767994,7202270.55,PEN,Soles,2026-02-27T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10352-1,ocds-dgv273-seacev3-2026-10352-1-2026-09-16T10:18:59.300666-05:00,1185175-20600979630,398000.0,PEN,Soles,2026-02-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184897,ocds-dgv273-seacev3-1184897-2026-09-13T12:05:37.258337-05:00,1184897-1762623,3680971.55,PEN,Soles,2026-01-30T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1295-10,ocds-dgv273-seacev3-2026-1295-10-2026-09-13T12:05:26.334745-05:00,1185825-20570527755,324280.35,PEN,Soles,2026-02-17T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1242638,ocds-dgv273-seacev3-1242638-2026-09-13T12:05:19.754778-05:00,1242638-1822521,680225.92,PEN,Soles,2026-08-19T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185698,ocds-dgv273-seacev3-1185698-2026-09-13T12:05:14.759136-05:00,1185698-1764593,1204133.29,PEN,Soles,2026-03-30T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-999-3,ocds-dgv273-seacev3-2026-999-3-2026-09-13T12:05:03.375062-05:00,1184886-1763938,1938620.68,PEN,Soles,2026-02-09T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1295-11,ocds-dgv273-seacev3-2026-1295-11-2026-09-13T12:04:52.008815-05:00,1185839-1765080,356607.09,PEN,Soles,2026-02-16T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184529,ocds-dgv273-seacev3-1184529-2026-09-13T12:04:29.458628-05:00,1184529-20607753467,6345387.77,PEN,Soles,2026-01-15T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184650,ocds-dgv273-seacev3-1184650-2026-09-13T12:04:29.425951-05:00,1184650-1762422,4588200.44,PEN,Soles,2026-02-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1186085,ocds-dgv273-seacev3-1186085-2026-09-10T10:20:23.069866-05:00,1186085-1764315,2773112.8,PEN,Soles,2026-02-24T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1247575,ocds-dgv273-seacev3-1247575-2026-09-09T10:24:35.882535-05:00,1247575-20525183778,2299401.49,PEN,Soles,2026-09-04T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1205782,ocds-dgv273-seacev3-1205782-2026-09-09T10:23:54.101914-05:00,1205782-10106570278,28000.0,PEN,Soles,2026-04-15T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184761,ocds-dgv273-seacev3-1184761-2026-09-09T10:23:42.687481-05:00,1184761-10176407471,598927.27,PEN,Soles,2026-02-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185208,ocds-dgv273-seacev3-1185208-2026-09-07T10:14:48.969321-05:00,1185208-1765043,158583.14,PEN,Soles,2026-02-12T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1235-2,ocds-dgv273-seacev3-2026-1235-2-2026-09-07T10:14:28.177764-05:00,1185664-1765420,305124.42,PEN,Soles,2026-02-18T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1247014,ocds-dgv273-seacev3-1247014-2026-09-05T13:36:57.365372-05:00,1247014-10712851037,27000.0,PEN,Soles,2026-09-03T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2409-49,ocds-dgv273-seacev3-2026-2409-49-2026-09-05T13:36:26.798058-05:00,1185958-10421556917,690120.0,PEN,Soles,2026-03-13T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185163,ocds-dgv273-seacev3-1185163-2026-09-05T13:35:53.243611-05:00,1185163-20611978228,199409.43,PEN,Soles,2026-02-06T00:00:00-05:00,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185911,ocds-dgv273-seacev3-1185911-2026-09-04T13:58:05.505788-05:00,1185911-1765128,322530.88,PEN,Soles,2026-02-11T00:00:00-05:00,2026-01_seace_v3_csv_es
