Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,compiledRelease/awards/0/items/0/position,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Descripción,compiledRelease/awards/0/items/0/statusDetails,compiledRelease/awards/0/items/0/status,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Esquema,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Cantidad,compiledRelease/awards/0/items/0/totalValue/amount,compiledRelease/awards/0/items/0/totalValue/currency,compiledRelease/awards/0/items/0/totalValue/currencyName,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Nombre,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1230097,ocds-dgv273-seacev3-1230097-2026-07-08T12:24:11.978534-05:00,1230097-1807447,21319845,1,CONTRATACIÓN DEL SERVICIO DE LA ENTIDAD PRIVADA SUPERVISORA DEL PROYECTO DE INVERSIÓN: ¿AMPLIACIÓN DEL SERVICIO DE SUMINISTRO ELÉCTRICO DOMICILIARIO EN ZONAS URBANAS EN MEDIANTE EL SISTEMA CONVENCIONAL EN PICHARI CAPITAL DISTRITO DE PICHARI DE LA PRO,CONTRATADO,active,8110170100356800.0,SUPERVISION DE OBRA DE CONSTRUCCION DE REDES DE DISTRIBUCION ELECTRICA AEREA DE MEDIA TENSION Y BAJA TENSION,CUBSO,1.0,223323.66,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2409-8,ocds-dgv273-seacev3-2026-2409-8-2026-07-08T12:23:29.237541-05:00,1187661-20602770266,21202281,1,CONTRATACIÓN DEL SERVICIO DE CONTACT CENTER CORPORATIVO,CONSENTIDO,active,8311150700283532.0,SERVICIO DE ATENCION DE LLAMADAS TELEFONICAS - CALL CENTER,CUBSO,7.0,22971750.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-822-20,ocds-dgv273-seacev3-2026-822-20-2026-07-08T12:23:28.972750-05:00,1189778-20613330845,21206630,1,"CONTRATACIÓN PARA LA ADQUISICIÓN DE COMBUSTIBLE (GASOHOL REGULAR Y DIESEL B-5 S50) PARA LA ACTIVIDAD: MANTENIMIENTO DE LOS SERVICIO DE SEGURIDAD CIUDADANA, OPERETIVIDAD Y LOGISTICA EN PICHARI CAPITAL, EN EL DISTRITO DE PICHARI, PROVINCIA DE LA CONVEN",CONTRATADO,active,,,,2828.0,43295.0,PEN,Nuevos Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1512-3,ocds-dgv273-seacev3-2026-1512-3-2026-07-08T12:23:28.726953-05:00,1188469-20528383808,21203683,1,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PRACTICA DEPORTIVA Y/O  RECREATIVA EN LA LOCALIDAD DE HUATAPI DISTRITO DE CAPELO, PROVINVIA DE REQUENA DEPARTAMENTO DE LORETO CUI 2674952",CONTRATADO,active,7215310200233127.0,CONSTRUCCION DE LOSA DEPORTIVA,CUBSO,1.0,1477890.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1160-6,ocds-dgv273-seacev3-2026-1160-6-2026-07-08T12:23:10.743016-05:00,1192030-1775753,21212914,1,CONSTRUCCIÓN DE AMBIENTE DE USOS MULTIPLES,CONTRATADO,active,7212110100233077.0,CONSTRUCCION DE LOCAL COMUNAL,CUBSO,1.0,313226.19,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-13,ocds-dgv273-seacev3-2026-1922-13-2026-07-08T12:23:10.409910-05:00,1190655-20612648671,21209727,1,Casacas manga larga para el personal SBS,CONTRATADO,active,4618154300388982.0,CASACA DE NAILON IMPERMEABLE TAFETAN DE 181 g/m2 APROX. CON FORRO MANGA LARGA PARA DAMA,CUBSO,1300.0,89700.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20100018625,21212931,2,BISACODILO 5 mg TAB LIB RET,CONSENTIDO,active,5117161400061273.0,BISACODILO 5 mg TAB LIB RET,CUBSO,10791495.0,647489.7,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20100018625,21212935,5,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 400 + 400 mg/5 mL SUS 150 mL,CONSENTIDO,active,5117150200197286.0,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 400 + 400 mg/5 mL SUS 150 mL,CUBSO,1658995.0,6635980.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20100287791,21212934,4,SIMETICONA 80 mg/mL SUS 15 mL,CONSENTIDO,active,5117150500197221.0,SIMETICONA 80 mg/mL SUS 15 mL,CUBSO,2896912.0,3311170.42,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20255361695,21212933,6,OMEPRAZOL 20 mg TAB LIB RET,CONSENTIDO,active,5117190900061391.0,OMEPRAZOL 20 mg TAB LIB RET,CUBSO,66122615.0,2625067.82,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20258134568,21212937,1,ALBENDAZOL 100 mg/5mL SUS 20 mL,CONSENTIDO,active,5145180100059202.0,ALBENDAZOL 100 mg/5mL SUS 20 mL,CUBSO,125221.0,159030.67,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20258134568,21212932,7,SUCRALFATO 1g/5 mL SUS 200 mg,CONSENTIDO,active,5117191100061417.0,SUCRALFATO 1g/5 mL SUS 200 mg,CUBSO,524761.0,3778279.2,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20517666361,21212936,3,DIMENHIDRINATO 50 mg TAB,CONSENTIDO,active,5117182000061429.0,DIMENHIDRINATO 50 mg TAB,CUBSO,9261539.0,449000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2543-194,ocds-dgv273-seacev3-2026-2543-194-2026-07-08T12:22:49.198329-05:00,1192040-20613527134,21212930,8,SULFASALAZINA 500 mg TAB,CONSENTIDO,active,5110150800197308.0,SULFASALAZINA 500 mg TAB,CUBSO,3517304.0,671805.06,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191554,ocds-dgv273-seacev3-1191554-2026-07-08T12:22:48.629049-05:00,1191554-10023877568,21211745,1,SERVICIO DE ALIMENTACIÓN PARA PERSONAS ¿ DESAYUNO Y ALMUERZO - SEDE MARISCAL NIETO,ADJUDICADO,pending,9111160300225302.0,SERVICIO DE PREPARACION DE DESAYUNOS,CUBSO,1.0,757854.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191554,ocds-dgv273-seacev3-1191554-2026-07-08T12:22:48.629049-05:00,1191554-10023877568,21211746,2,SERVICIO DE ALIMENTACIÓN PARA PERSONAS ¿ DESAYUNO Y ALMUERZO - FILIAL ILO,ADJUDICADO,pending,9111160300225304.0,SERVICIO DE PREPARACION DE ALMUERZO,CUBSO,1.0,523828.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191375,ocds-dgv273-seacev3-1191375-2026-07-08T12:22:48.157841-05:00,1191375-10411007702,21211289,1,ELABORACIÓN DE EXPEDIENTE TÉCNICO DEL PROYECTO DE INVERSIÓN PUBLICA: CUI N° 2718054,ADJUDICADO,pending,8110150800304974.0,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,265245.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191375,ocds-dgv273-seacev3-1191375-2026-07-08T12:22:48.157841-05:00,1191375-10477768801,21211289,1,ELABORACIÓN DE EXPEDIENTE TÉCNICO DEL PROYECTO DE INVERSIÓN PUBLICA: CUI N° 2718054,CONSENTIDO,active,8110150800304974.0,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,265736.7,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10357-1,ocds-dgv273-seacev3-2026-10357-1-2026-07-08T12:22:46.513392-05:00,1188051-1772250,21202692,1,SERVICIO DE ADECUACIÓN Y HABILITACIÓN DE OFICINAS DEL SEGUNDO PISO DEL PEAH,CONTRATADO,active,7212110300225143.0,SERVICIO DE ACONDICIONAMIENTO DE OFICINA,CUBSO,1.0,545000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1830-1,ocds-dgv273-seacev3-2026-1830-1-2026-07-08T12:22:46.424756-05:00,1186208-20609291321,21197605,1,ADQUISICION DE SUMINISTRO DE COMBUSTIBLE DIESEL B5 S50 PARA LA MUNICIPALIDAD DISTRITAL DE SANTA ROSA.,CONTRATADO,active,1510150500233280.0,DIESEL B5 S-50,CUBSO,7974.0,111636.0,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187085,ocds-dgv273-seacev3-1187085-2026-07-08T12:22:45.970985-05:00,1187085-20601021642,21198248,1,"BIEN: ADQUISICIÓN DE SUMINISTRO DEL BIEN ALIMENTICIO ""HOJUELAS DE QUINUA, CEBADA, KIWICHA, AVENA, HARINA DE AJONJOLI, HARINA INTEGRAL DE SOYA, FORTIFICADA CON VITAMINAS Y MINERALES"", PARA ATENDER EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD PROVINCI",CONTRATADO,active,5019210900391578.0,"HOJUELA DE AVENA, QUINUA Y KIWICHA PRECOCIDA ENRIQUECIDA CON VITAMINAS Y MINERALES",CUBSO,151372.8,1165570.56,PEN,Soles,18,Kilogramo,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-7,ocds-dgv273-seacev3-2026-2009-7-2026-06-25T10:28:44.869521-05:00,1188620-20610963952,21204072,1,ADQUISICIÓN DE LADRILLO PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICA PÚBLICA DE PROGRESO DEL DISTRITO DE PROGRESO DE LA PROVINCIA DE GRAU ¿ APURÍMAC,CONSENTIDO,active,,,,2.0,65000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-7,ocds-dgv273-seacev3-2026-2009-7-2026-06-25T10:28:44.869521-05:00,1188620-10428943738,21204072,1,ADQUISICIÓN DE LADRILLO PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICA PÚBLICA DE PROGRESO DEL DISTRITO DE PROGRESO DE LA PROVINCIA DE GRAU ¿ APURÍMAC,CONSENTIDO,active,,,,2.0,71050.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-7,ocds-dgv273-seacev3-2026-2009-7-2026-06-25T10:28:44.869521-05:00,1188620-20610447245,21204072,1,ADQUISICIÓN DE LADRILLO PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICA PÚBLICA DE PROGRESO DEL DISTRITO DE PROGRESO DE LA PROVINCIA DE GRAU ¿ APURÍMAC,CONSENTIDO,active,,,,2.0,91450.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-7,ocds-dgv273-seacev3-2026-2009-7-2026-06-25T10:28:44.869521-05:00,1188620-20518498682,21204072,1,ADQUISICIÓN DE LADRILLO PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICA PÚBLICA DE PROGRESO DEL DISTRITO DE PROGRESO DE LA PROVINCIA DE GRAU ¿ APURÍMAC,CONTRATADO,active,,,,2.0,99100.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192118,ocds-dgv273-seacev3-1192118-2026-06-25T10:28:35.844739-05:00,1192118-1770634,21212823,1,CONTRATACION DE LA EJECUCION DE LA OBRA: CREACION DEL PARQUE RECREACIONAL EN LA MZ. 57 LOTE 1 DEL PV. H.U.P. NICOLAS GARATEA DEL DISTRITO DE NUEVO CHIMBOTE - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH,CONTRATADO,active,7214112800233081.0,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,1216969.52,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188748,ocds-dgv273-seacev3-1188748-2026-06-25T10:28:35.472849-05:00,1188748-20555113731,21204332,1,SERVICIO DE EXÁMENES MÉDICOS OCUPACIONALES PARA LOS TRABAJADORES DE LA SUNAT - SEDE LIMA,CONSENTIDO,active,8510170700328882.0,SERVICIO DE EXÁMENES MÉDICOS OCUPACIONALES PARA LOS TRABAJADORES DE LA SUNAT - SEDE LIMA,CUBSO,1.0,1972957.5,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1160-2,ocds-dgv273-seacev3-2026-1160-2-2026-06-25T10:28:35.301896-05:00,1191610-20607110264,21211683,1,SERVICIO DE ALQUILER DE DOS CAMIONES BARANDA,CONTRATADO,active,7811180800365652.0,SERVICIO DE ALQUILER DE CAMION BARANDA,CUBSO,2.0,372000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-836-6,ocds-dgv273-seacev3-2026-836-6-2026-06-25T10:28:31.755329-05:00,1190257-20527874247,21208361,1,CONTRATACIÓN PARA ADQUIRIR COMBUSTIBLE PARA EL PROYECTO (0083) - MEJORAMIENTO DEL SERVICIO DE LIMPIEZA PUBLICA EN LA GESTION INTEGRAL DE RESIDUOS SOLIDOS DEL DISTRITO DE KOSÑIPATA DE LA PROVINCIA DE PAUCARTAMBO DEL DEPARTAMENTO DE CUSCO,CONTRATADO,active,,,,1.0,68760.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1952-105,ocds-dgv273-seacev3-2026-1952-105-2026-06-25T10:28:25.547567-05:00,1195617-10405444653,21222194,1,ANALISTA UX/UI 01 PARA LA IMPLEMENTACIÓN DE LOS PROYECTOS VINCULADOS AL DESARROLLO DE LA NUEVA PLATAFORMA DE CONTRATACIÓN PÚBLICA - SEACE,CONTRATADO,active,8111181900374702.0,CONSULTORIA PARA CONTROL DE CALIDAD DE DESARROLLO DE SOFTWARE,CUBSO,1.0,24000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1952-105,ocds-dgv273-seacev3-2026-1952-105-2026-06-25T10:28:25.547567-05:00,1195617-10426128204,21222193,2,ANALISTA 02 UX/UI PARA LA IMPLEMENTACIÓN DE LOS PROYECTOS VINCULADOS AL DESARROLLO DE LA NUEVA PLATAFORMA DE CONTRATACIÓN PÚBLICA - SEACE,CONTRATADO,active,8111181900374702.0,CONSULTORIA PARA CONTROL DE CALIDAD DE DESARROLLO DE SOFTWARE,CUBSO,1.0,24000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190805,ocds-dgv273-seacev3-1190805-2026-06-25T10:28:25.507603-05:00,1190805-20602035523,21210116,1,SUMINISTRO DE MATERIALES AGREGADOS PARA TRABAJOS DE MANTENIMIENTO DEL DISTRITO DE SANTIAGO DE SURCO,CONSENTIDO,active,,,,1.0,82620.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190805,ocds-dgv273-seacev3-1190805-2026-06-25T10:28:25.507603-05:00,1190805-20492988201,21210116,1,SUMINISTRO DE MATERIALES AGREGADOS PARA TRABAJOS DE MANTENIMIENTO DEL DISTRITO DE SANTIAGO DE SURCO,CONTRATADO,active,,,,1.0,114120.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-96,ocds-dgv273-seacev3-2026-10249-96-2026-06-25T10:28:25.397165-05:00,1189805-20492213552,21208370,1,ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL PP.-0135 SEMAN,CONTRATADO,active,,,,37.0,69800.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-9,ocds-dgv273-seacev3-2026-2009-9-2026-06-25T10:28:25.321978-05:00,1189644-10482745283,21206445,1,PORCELANATO 60 cm X 60 cm VARIOS COLORES,CONSENTIDO,active,,,,3.0,53436.5,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2009-9,ocds-dgv273-seacev3-2026-2009-9-2026-06-25T10:28:25.321978-05:00,1189644-20610284001,21206445,1,PORCELANATO 60 cm X 60 cm VARIOS COLORES,CONTRATADO,active,,,,3.0,78563.1,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
