Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificaciones adicionales:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificaciones adicionales:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1230569,ocds-dgv273-seacev3-1230569-2026-09-23T10:18:06.846554-05:00,2413783,21321012,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1193137,ocds-dgv273-seacev3-1193137-2026-09-23T10:18:02.684060-05:00,2390212,21215567,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1193335,ocds-dgv273-seacev3-1193335-2026-09-23T10:18:02.643851-05:00,2400584,21238139,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-2528-2,ocds-dgv273-seacev3-2026-2528-2-2026-09-23T10:18:02.564399-05:00,2424010,21238545,81101701,Servicios de ingeniería eléctrica,UNSPSC
ocds-dgv273-seacev3-1199066,ocds-dgv273-seacev3-1199066-2026-09-23T10:18:02.540942-05:00,2389225,21230671,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1195480,ocds-dgv273-seacev3-1195480-2026-09-23T10:18:02.506844-05:00,2387711,21221915,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1195551,ocds-dgv273-seacev3-1195551-2026-09-23T10:18:02.488823-05:00,2424136,21222034,72121102,Servicios de construcción de edificios comerciales y de oficinas prefabricadas,UNSPSC
ocds-dgv273-seacev3-1196554,ocds-dgv273-seacev3-1196554-2026-09-23T10:17:53.204983-05:00,2416210,21224191,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-1922-68,ocds-dgv273-seacev3-2026-1922-68-2026-09-23T10:17:53.156900-05:00,2413339,21222196,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1199595,ocds-dgv273-seacev3-1199595-2026-09-23T10:17:53.108789-05:00,2387846,21232405,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1200616,ocds-dgv273-seacev3-1200616-2026-09-23T10:17:53.080810-05:00,2408219,21235371,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
