Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1230569,ocds-dgv273-seacev3-1230569-2026-09-23T10:18:06.846554-05:00,1230569-10483261026,21321012,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1193137,ocds-dgv273-seacev3-1193137-2026-09-23T10:18:02.684060-05:00,1193137-1779421,21215567,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1193335,ocds-dgv273-seacev3-1193335-2026-09-23T10:18:02.643851-05:00,1193335-1784904,21238139,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-2528-2,ocds-dgv273-seacev3-2026-2528-2-2026-09-23T10:18:02.564399-05:00,1201727-1806218,21238545,81101701,Servicios de ingeniería eléctrica,UNSPSC
ocds-dgv273-seacev3-1199066,ocds-dgv273-seacev3-1199066-2026-09-23T10:18:02.540942-05:00,1199066-1778732,21230671,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1195480,ocds-dgv273-seacev3-1195480-2026-09-23T10:18:02.506844-05:00,1195480-1774864,21221915,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1195551,ocds-dgv273-seacev3-1195551-2026-09-23T10:18:02.488823-05:00,1195551-20608283286,21222034,72121102,Servicios de construcción de edificios comerciales y de oficinas prefabricadas,UNSPSC
ocds-dgv273-seacev3-1196554,ocds-dgv273-seacev3-1196554-2026-09-23T10:17:53.204983-05:00,1196554-1783456,21224191,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-1922-68,ocds-dgv273-seacev3-2026-1922-68-2026-09-23T10:17:53.156900-05:00,1195638-20600182197,21222196,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1199595,ocds-dgv273-seacev3-1199595-2026-09-23T10:17:53.108789-05:00,1199595-20494824931,21232405,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1200616,ocds-dgv273-seacev3-1200616-2026-09-23T10:17:53.080810-05:00,1200616-20603088256,21235371,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1201492,ocds-dgv273-seacev3-1201492-2026-09-23T10:17:53.072787-05:00,1201492-20605734121,21237927,72153002,Servicios de instalación y reparación de vidrios,UNSPSC
ocds-dgv273-seacev3-1222764,ocds-dgv273-seacev3-1222764-2026-09-23T10:17:42.068824-05:00,1222764-20601809711,21299606,91111603,Servicios de cocina o preparación de comidas,UNSPSC
ocds-dgv273-seacev3-1218863,ocds-dgv273-seacev3-1218863-2026-09-23T10:17:41.681628-05:00,1218863-1794424,21287707,72141001,Servicios de construcción de pistas y carreteras nuevas,UNSPSC
ocds-dgv273-seacev3-1193323,ocds-dgv273-seacev3-1193323-2026-09-23T10:17:41.658670-05:00,1193323-1774945,21216287,72152605,Servicios de montaje y reparación de techos,UNSPSC
ocds-dgv273-seacev3-1201785,ocds-dgv273-seacev3-1201785-2026-09-23T10:17:41.648522-05:00,1201785-20100070031,21238768,22101526,Excavadoras sobre orugas,UNSPSC
ocds-dgv273-seacev3-1203286,ocds-dgv273-seacev3-1203286-2026-09-23T10:17:41.605825-05:00,1203286-1785771,21244371,72153102,Servicios de construcción de campos deportivos interiores,UNSPSC
ocds-dgv273-seacev3-1196444,ocds-dgv273-seacev3-1196444-2026-09-23T10:17:41.551747-05:00,1196444-1783182,21223642,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1193063,ocds-dgv273-seacev3-1193063-2026-09-23T10:17:41.508348-05:00,1193063-1772853,21215441,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1821569,21341476,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1821669,21341521,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1821830,21341519,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1821981,21341477,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1822001,21341520,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1238356,ocds-dgv273-seacev3-1238356-2026-09-23T10:17:41.474780-05:00,1238356-1822015,21341478,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1193611,ocds-dgv273-seacev3-1193611-2026-09-23T10:17:41.457022-05:00,1193611-1781246,21216888,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-2525-82,ocds-dgv273-seacev3-2026-2525-82-2026-09-23T10:17:41.416589-05:00,1200782-1787004,21235879,72121105,Servicios de construcción de centros comerciales y galerías,UNSPSC
ocds-dgv273-seacev3-1196146,ocds-dgv273-seacev3-1196146-2026-09-23T10:17:41.401281-05:00,1196146-1772488,21223049,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1195250,ocds-dgv273-seacev3-1195250-2026-09-23T10:17:30.881826-05:00,1195250-20604239797,21221213,85121504,Servicios médicos de emergencia de médicos de atenciòn primaria,UNSPSC
ocds-dgv273-seacev3-1195070,ocds-dgv273-seacev3-1195070-2026-09-23T10:17:30.864072-05:00,1195070-1808631,21220878,72121102,Servicios de construcción de edificios comerciales y de oficinas prefabricadas,UNSPSC
ocds-dgv273-seacev3-1194694,ocds-dgv273-seacev3-1194694-2026-09-23T10:17:30.839899-05:00,1194694-20610593993,21219720,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-1196338,ocds-dgv273-seacev3-1196338-2026-09-23T10:17:30.820416-05:00,1196338-1796720,21223552,81101510,Ingeniería de carreteras,UNSPSC
ocds-dgv273-seacev3-1199474,ocds-dgv273-seacev3-1199474-2026-09-23T10:17:30.779175-05:00,1199474-10730560686,21231689,86101704,Capacitación de cadenas de suministro o aprovisionamiento,UNSPSC
ocds-dgv273-seacev3-1201144,ocds-dgv273-seacev3-1201144-2026-09-23T10:17:29.799637-05:00,1201144-20605428780,21236848,15111510,Gas de petróleo licuefactado,UNSPSC
ocds-dgv273-seacev3-1218916,ocds-dgv273-seacev3-1218916-2026-09-23T10:17:19.444341-05:00,1218916-1794439,21287808,72141121,Servicios de construcción de tuberías principales de agua,UNSPSC
ocds-dgv273-seacev3-1198789,ocds-dgv273-seacev3-1198789-2026-09-23T10:17:19.311985-05:00,1198789-1778686,21229841,72153102,Servicios de construcción de campos deportivos interiores,UNSPSC
ocds-dgv273-seacev3-2026-1604-5,ocds-dgv273-seacev3-2026-1604-5-2026-09-23T10:17:19.233273-05:00,1200110-1778610,21233729,72153102,Servicios de construcción de campos deportivos interiores,UNSPSC
ocds-dgv273-seacev3-1232027,ocds-dgv273-seacev3-1232027-2026-09-23T10:17:10.229671-05:00,1232027-20491656761,21324883,72141121,Servicios de construcción de tuberías principales de agua,UNSPSC
ocds-dgv273-seacev3-1232959,ocds-dgv273-seacev3-1232959-2026-09-23T10:17:10.012985-05:00,1232959-1810743,21327407,72151502,Servicios de instalación de sistemas de energía eléctrica,UNSPSC
ocds-dgv273-seacev3-1201016,ocds-dgv273-seacev3-1201016-2026-09-23T10:17:09.393383-05:00,1201016-20521306115,21236560,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1196409,ocds-dgv273-seacev3-1196409-2026-09-23T10:17:09.360284-05:00,1196409-1773263,21223625,81141807,Servicio de inspección de instalaciones sanitarias o alcantarillado,UNSPSC
ocds-dgv273-seacev3-2026-1731-39,ocds-dgv273-seacev3-2026-1731-39-2026-09-23T10:17:09.342074-05:00,1197801-1779089,21226950,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-49-154,ocds-dgv273-seacev3-2026-49-154-2026-09-23T10:17:09.288892-05:00,1206601-1787091,21252102,72121403,Servicios de construcción de hospitales,UNSPSC
ocds-dgv273-seacev3-1199530,ocds-dgv273-seacev3-1199530-2026-09-23T10:17:09.264840-05:00,1199530-20486373297,21231764,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1193699,ocds-dgv273-seacev3-1193699-2026-09-23T10:17:09.250234-05:00,1193699-1770758,21217189,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-2026-10490-25,ocds-dgv273-seacev3-2026-10490-25-2026-09-23T10:17:09.214018-05:00,1197051-1784256,21225173,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1197612,ocds-dgv273-seacev3-1197612-2026-09-23T10:17:09.127742-05:00,1197612-20449458436,21226500,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1197612,ocds-dgv273-seacev3-1197612-2026-09-23T10:17:09.127742-05:00,1197612-20511037001,21226500,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1199994,ocds-dgv273-seacev3-1199994-2026-09-23T10:17:09.110073-05:00,1199994-20600770358,21233282,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-1251373,ocds-dgv273-seacev3-1251373-2026-09-23T10:17:02.779922-05:00,1251373-1834602,21373140,81101515,Ingeniería de infraestructura de plantas o instalaciones,UNSPSC
ocds-dgv273-seacev3-1213911,ocds-dgv273-seacev3-1213911-2026-09-23T10:16:57.170798-05:00,1213911-1791144,21272037,72121408,Servicios de construcción de estadios,UNSPSC
ocds-dgv273-seacev3-1198326,ocds-dgv273-seacev3-1198326-2026-09-23T10:16:57.095996-05:00,1198326-20605428780,21228340,15111510,Gas de petróleo licuefactado,UNSPSC
ocds-dgv273-seacev3-1198701,ocds-dgv273-seacev3-1198701-2026-09-23T10:16:56.992231-05:00,1198701-1779632,21229565,72121406,Servicios de construcción de escuelas,UNSPSC
