Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/position,Entrega compilada:Licitación:Artículos que se adquirirán:Descripción,compiledRelease/tender/items/0/statusDetails,compiledRelease/tender/items/0/status,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Esquema,Entrega compilada:Licitación:Artículos que se adquirirán:Cantidad,compiledRelease/tender/items/0/totalValue/amount,compiledRelease/tender/items/0/totalValue/currency,compiledRelease/tender/items/0/totalValue/currencyName,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Nombre,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Esquema
ocds-dgv273-seacev3-1230569,ocds-dgv273-seacev3-1230569-2026-09-23T10:18:06.846554-05:00,1230569,21321012,1,CEMENTO PORTLAND PUZOLANICO TIPO IP X 42.50 kg,CONTRATADO,complete,3011160100012953,CEMENTO PORTLAND PUZOLANICO TIPO IP X 42.50 kg,CUBSO,15400.0,610918.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1193137,ocds-dgv273-seacev3-1193137-2026-09-23T10:18:02.684060-05:00,1193137,21215567,1,"EJECUCIÓN DE OBRA: MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA AV. LA RONCADORA, A TRAVEZ DE PISTAS Y VEREDAS, TRAMO CALLE ANGAMOS HASTA JIRON GENOVA, ZONA 05, SUB ZONA 02, DISTRITO DE ATE DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA ¿ CU",CONTRATADO,complete,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,11450569.83,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1193335,ocds-dgv273-seacev3-1193335-2026-09-23T10:18:02.643851-05:00,1193335,21238139,1,"EJECUCION DE LA OBRA: ""MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA URB. EL INGENIERO I DEL DISTRITO DE CHICLAYO - PROVINCIA DE CHICLAYO - DEPARTAMENTO DE LAMBAYEQUE"". CUI N° 2561992",CONTRATADO,complete,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,4604387.75,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1194543,ocds-dgv273-seacev3-1194543-2026-09-23T10:18:02.586676-05:00,1194543,21219318,1,ADQUISICIÓN DE COMBUSTIBLE PARA LA RED DE SALUD TACNA,CONTRATADO,complete,,,,1.0,297116.62,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-2528-2,ocds-dgv273-seacev3-2026-2528-2-2026-09-23T10:18:02.564399-05:00,1201727,21238545,1,SUPERVISION DE LA OBRA: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ENERGIA ELECTRICA EN EL SER ACARI CHALA EN LAS PROVINCIAS DE LUCANAS Y PARINACOCHAS DEL DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE CARAVALI DEL DEPARTAMENTO DE AREQUIPA¿ ¿ EXPEDIENTE,CONTRATADO,complete,8110170100360644,SUPERVISION DE OBRA DE REMODELACION DE REDES DE DISTRIBUCION ELECTRICA AEREA DE MEDIA TENSION Y BAJA TENSION,CUBSO,1.0,394193.25,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1199066,ocds-dgv273-seacev3-1199066-2026-09-23T10:18:02.540942-05:00,1199066,21230671,1,"EJECUCIÓN DE LA OBRA IOARR: ¿REPARACIÓN DE AULA DE EDUCACIÓN INICIAL, AULA DE EDUCACIÓN PRIMARIA, AMBIENTE DE PREPARACIÓN Y EXPENDIO DE ALIMENTOS Y VESTUARIOS Y/O SSHH DE USUARIOS; EN EL(LA) I.E. 33158 EN LA LOCALIDAD ALTO AZUL, DISTRITO DE LA MORADA",CONTRATADO,complete,7212140600233068,REMODELACION DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,CUBSO,1.0,2541097.82,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1195480,ocds-dgv273-seacev3-1195480-2026-09-23T10:18:02.506844-05:00,1195480,21221915,1,"CONTRATACION DEL SERVICIO DE CONSULTORIA EN GENERAL PARA LA SUPERVISION DEL SERVICIO: SEGUNDA ETAPA DEL MANTENIMIENTO DE LA TRANSITABILIDAD VEHICULAR DE DIVERSAS CALLES Y AVENIDAS DEL DISTRITO DE CHICLAYO, PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBA",CONTRATADO,complete,7214100300359630,SERVICIO DE MANTENIMIENTO DE CALLES DE MATERIAL ASFALTO,CUBSO,1.0,265526.12,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1195551,ocds-dgv273-seacev3-1195551-2026-09-23T10:18:02.488823-05:00,1195551,21222034,1,SERVICIO DE CONSTRUCCION E INSTALACIÓN DE COBERTURA DE TECHO ALUZINC,CONTRATADO,complete,7212110200339377,SERVICIO DE FABRICACION DE TECHO DE ESTRUCTURA METALICA,CUBSO,1.0,398000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1252030,ocds-dgv273-seacev3-1252030-2026-09-23T10:17:59.530721-05:00,1252030,21374797,1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISION DE LA OBRA DEL PROYECTO: ¿MEJORAMIENTO DEL CAMINO VECINAL PEDREAL ¿ VALLE LOS INCAS DE 0+000 AL 15+800 KM, DISTRITO DE TAMBOGRANDE, PROVINCIA DE PIURA, DEPARTEMENTO DE PIURA¿, CON CUI N°2536742",CONVOCADO,active,8110151000349110,SUPERVISION DE OBRA DE CONSTRUCCION DE CAMINOS VECINALES,CUBSO,1.0,2523830.03,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1250539,ocds-dgv273-seacev3-1250539-2026-09-23T10:17:56.797873-05:00,1250539,21370824,1,"SERVICIO DE CONSULTORIA DE SUPERVISION DE EJECUCION DE OBRA MEJORAMIENTO DEL SERVICIO EDUCATIVO EN LA I.E.S JOSE ANTONIO ENCINAS FRANCO, CENTRO POBLADO DE LECHEMAYO, DEL DISTRITO DE SAN GABAN PROVINCIA DE CARABAYA, REGION PUNO, CUI. 2344253.",CONVOCADO,active,8110150800362877,SUPERVISION DE OBRA DE AMPLIACION DE CENTROS EDUCATIVOS,CUBSO,1.0,1096105.15,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
