Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1230569,ocds-dgv273-seacev3-1230569-2026-09-23T10:18:06.846554-05:00,1230569,21321012,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1193137,ocds-dgv273-seacev3-1193137-2026-09-23T10:18:02.684060-05:00,1193137,21215567,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1193335,ocds-dgv273-seacev3-1193335-2026-09-23T10:18:02.643851-05:00,1193335,21238139,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-2528-2,ocds-dgv273-seacev3-2026-2528-2-2026-09-23T10:18:02.564399-05:00,1201727,21238545,81101701,Servicios de ingeniería eléctrica,UNSPSC
ocds-dgv273-seacev3-1199066,ocds-dgv273-seacev3-1199066-2026-09-23T10:18:02.540942-05:00,1199066,21230671,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1195480,ocds-dgv273-seacev3-1195480-2026-09-23T10:18:02.506844-05:00,1195480,21221915,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1195551,ocds-dgv273-seacev3-1195551-2026-09-23T10:18:02.488823-05:00,1195551,21222034,72121102,Servicios de construcción de edificios comerciales y de oficinas prefabricadas,UNSPSC
ocds-dgv273-seacev3-1252030,ocds-dgv273-seacev3-1252030-2026-09-23T10:17:59.530721-05:00,1252030,21374797,81101510,Ingeniería de carreteras,UNSPSC
ocds-dgv273-seacev3-1250539,ocds-dgv273-seacev3-1250539-2026-09-23T10:17:56.797873-05:00,1250539,21370824,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-1196554,ocds-dgv273-seacev3-1196554-2026-09-23T10:17:53.204983-05:00,1196554,21224191,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-1922-68,ocds-dgv273-seacev3-2026-1922-68-2026-09-23T10:17:53.156900-05:00,1195638,21222196,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1199595,ocds-dgv273-seacev3-1199595-2026-09-23T10:17:53.108789-05:00,1199595,21232405,92101501,Servicios de vigilancia,UNSPSC
ocds-dgv273-seacev3-1193744,ocds-dgv273-seacev3-1193744-2026-09-23T10:17:53.101793-05:00,1193744,21216991,77101701,Servicios de consultoría en ciencias ambientales,UNSPSC
ocds-dgv273-seacev3-1200616,ocds-dgv273-seacev3-1200616-2026-09-23T10:17:53.080810-05:00,1200616,21235371,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1201492,ocds-dgv273-seacev3-1201492-2026-09-23T10:17:53.072787-05:00,1201492,21237927,72153002,Servicios de instalación y reparación de vidrios,UNSPSC
ocds-dgv273-seacev3-2026-2344-31,ocds-dgv273-seacev3-2026-2344-31-2026-09-23T10:17:53.038492-05:00,1196877,21224886,22101509,Retroexcavadoras,UNSPSC
ocds-dgv273-seacev3-1251418,ocds-dgv273-seacev3-1251418-2026-09-23T10:17:48.597236-05:00,1251418,21373146,81101515,Ingeniería de infraestructura de plantas o instalaciones,UNSPSC
ocds-dgv273-seacev3-1222764,ocds-dgv273-seacev3-1222764-2026-09-23T10:17:42.068824-05:00,1222764,21299606,91111603,Servicios de cocina o preparación de comidas,UNSPSC
ocds-dgv273-seacev3-1218863,ocds-dgv273-seacev3-1218863-2026-09-23T10:17:41.681628-05:00,1218863,21287707,72141001,Servicios de construcción de pistas y carreteras nuevas,UNSPSC
ocds-dgv273-seacev3-1193323,ocds-dgv273-seacev3-1193323-2026-09-23T10:17:41.658670-05:00,1193323,21216287,72152605,Servicios de montaje y reparación de techos,UNSPSC
ocds-dgv273-seacev3-1201785,ocds-dgv273-seacev3-1201785-2026-09-23T10:17:41.648522-05:00,1201785,21238768,22101526,Excavadoras sobre orugas,UNSPSC
ocds-dgv273-seacev3-1203286,ocds-dgv273-seacev3-1203286-2026-09-23T10:17:41.605825-05:00,1203286,21244371,72153102,Servicios de construcción de campos deportivos interiores,UNSPSC
ocds-dgv273-seacev3-1196444,ocds-dgv273-seacev3-1196444-2026-09-23T10:17:41.551747-05:00,1196444,21223642,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1193063,ocds-dgv273-seacev3-1193063-2026-09-23T10:17:41.508348-05:00,1193063,21215441,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1195628,ocds-dgv273-seacev3-1195628-2026-09-23T10:17:41.501482-05:00,1195628,21222158,25101610,Camiones cisternas,UNSPSC
