Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Partes involucradas:ID de Entidad,Entrega compilada:Partes involucradas:Identificadores adicionales:ID,Entrega compilada:Partes involucradas:Identificadores adicionales:Esquema,Entrega compilada:Partes involucradas:Identificadores adicionales:Nombre Legal
ocds-dgv273-seacev3-1210569,ocds-dgv273-seacev3-1210569-2026-09-18T10:22:33.252107-05:00,PE-CONSUCODE-422,20173809663,PE-RUC,MUNICIPALIDAD DISTRITAL DE YURA
ocds-dgv273-seacev3-1190087,ocds-dgv273-seacev3-1190087-2026-09-18T10:22:32.782324-05:00,PE-CONSUCODE-797,20181709066,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS
ocds-dgv273-seacev3-1250936,ocds-dgv273-seacev3-1250936-2026-09-18T10:22:29.321274-05:00,PE-CONSUCODE-42,20440374248,PE-RUC,GOBIERNO REGIONAL DE LA LIBERTAD Sede Central
ocds-dgv273-seacev3-1214538,ocds-dgv273-seacev3-1214538-2026-09-18T10:22:23.072758-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215580,ocds-dgv273-seacev3-1215580-2026-09-18T10:22:22.933621-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1214433,ocds-dgv273-seacev3-1214433-2026-09-18T10:22:22.758755-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1214371,ocds-dgv273-seacev3-1214371-2026-09-18T10:22:22.592549-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215478,ocds-dgv273-seacev3-1215478-2026-09-18T10:22:22.248989-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-2026-1545-1,ocds-dgv273-seacev3-2026-1545-1-2026-09-18T10:22:21.672582-05:00,PE-CONSUCODE-1545,20285763313,PE-RUC,MUNICIPALIDAD DISTRITAL DE ICHUÑA
ocds-dgv273-seacev3-2026-422-15,ocds-dgv273-seacev3-2026-422-15-2026-09-18T10:22:21.375500-05:00,PE-CONSUCODE-422,20173809663,PE-RUC,MUNICIPALIDAD DISTRITAL DE YURA
ocds-dgv273-seacev3-1214402,ocds-dgv273-seacev3-1214402-2026-09-18T10:22:10.761653-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1214419,ocds-dgv273-seacev3-1214419-2026-09-18T10:22:10.642971-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1184613,ocds-dgv273-seacev3-1184613-2026-09-17T10:19:21.455014-05:00,PE-CONSUCODE-1456,20182110095,PE-RUC,MUNICIPALIDAD DISTRITAL DE PUTINZA
ocds-dgv273-seacev3-1184703,ocds-dgv273-seacev3-1184703-2026-09-17T10:19:21.082535-05:00,PE-CONSUCODE-920,20232724588,PE-RUC,MUNICIPALIDAD DISTRITAL DE SURCUBAMBA
ocds-dgv273-seacev3-1184475,ocds-dgv273-seacev3-1184475-2026-09-17T10:19:20.959120-05:00,PE-CONSUCODE-421,20221150733,PE-RUC,MUNICIPALIDAD DISTRITAL DE YARABAMBA
ocds-dgv273-seacev3-1185159,ocds-dgv273-seacev3-1185159-2026-09-17T10:19:09.849016-05:00,PE-CONSUCODE-1713,20145614121,PE-RUC,MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI
ocds-dgv273-seacev3-2026-10352-1,ocds-dgv273-seacev3-2026-10352-1-2026-09-16T10:18:59.300666-05:00,PE-CONSUCODE-10352,20154477536,PE-RUC,GOBIERNO REGIONAL DE PIURA - PROYECTO ESPECIAL CHIRA PIURA
ocds-dgv273-seacev3-1184897,ocds-dgv273-seacev3-1184897-2026-09-13T12:05:37.258337-05:00,PE-CONSUCODE-200405,20207763820,PE-RUC,MUNICIPALIDAD DISTRITAL CONSTITUCION - PASCO
ocds-dgv273-seacev3-2026-1295-10,ocds-dgv273-seacev3-2026-1295-10-2026-09-13T12:05:26.334745-05:00,PE-CONSUCODE-1295,20175975234,PE-RUC,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
ocds-dgv273-seacev3-1242638,ocds-dgv273-seacev3-1242638-2026-09-13T12:05:19.754778-05:00,PE-CONSUCODE-1341,20131372427,PE-RUC,MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES
ocds-dgv273-seacev3-1185698,ocds-dgv273-seacev3-1185698-2026-09-13T12:05:14.759136-05:00,PE-CONSUCODE-238,20225557749,PE-RUC,MUNICIPALIDAD DISTRITAL DE CASCA
ocds-dgv273-seacev3-2026-999-3,ocds-dgv273-seacev3-2026-999-3-2026-09-13T12:05:03.375062-05:00,PE-CONSUCODE-999,20160934591,PE-RUC,MUNICIPALIDAD DISTRITAL DE CHAGLLA
ocds-dgv273-seacev3-2026-1295-11,ocds-dgv273-seacev3-2026-1295-11-2026-09-13T12:04:52.008815-05:00,PE-CONSUCODE-1295,20175975234,PE-RUC,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
ocds-dgv273-seacev3-1184529,ocds-dgv273-seacev3-1184529-2026-09-13T12:04:29.458628-05:00,PE-CONSUCODE-2433,20100128218,PE-RUC,PETROLEOS DEL PERU S.A.
ocds-dgv273-seacev3-1184650,ocds-dgv273-seacev3-1184650-2026-09-13T12:04:29.425951-05:00,PE-CONSUCODE-1338,20131378034,PE-RUC,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO
ocds-dgv273-seacev3-1186085,ocds-dgv273-seacev3-1186085-2026-09-10T10:20:23.069866-05:00,PE-CONSUCODE-200,20174929697,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CASMA
ocds-dgv273-seacev3-1247575,ocds-dgv273-seacev3-1247575-2026-09-09T10:24:35.882535-05:00,PE-CONSUCODE-27,20291973851,PE-RUC,OFICINA NACIONAL DE PROCESOS ELECTORALES
ocds-dgv273-seacev3-1205782,ocds-dgv273-seacev3-1205782-2026-09-09T10:23:54.101914-05:00,PE-CONSUCODE-10015,20414868216,PE-RUC,PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI
ocds-dgv273-seacev3-1184761,ocds-dgv273-seacev3-1184761-2026-09-09T10:23:42.687481-05:00,PE-CONSUCODE-1597,20168891998,PE-RUC,MUNICIPALIDAD DISTRITAL DE MONTERO
ocds-dgv273-seacev3-2026-32831-1,ocds-dgv273-seacev3-2026-32831-1-2026-09-07T10:14:48.987808-05:00,PE-CONSUCODE-201385,20561164437,PE-RUC,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA
ocds-dgv273-seacev3-1185208,ocds-dgv273-seacev3-1185208-2026-09-07T10:14:48.969321-05:00,PE-CONSUCODE-2463,20138695884,PE-RUC,FONDO MUNICIPAL DE INVERSIONES DEL CALLAO
ocds-dgv273-seacev3-2026-1235-2,ocds-dgv273-seacev3-2026-1235-2-2026-09-07T10:14:28.177764-05:00,PE-CONSUCODE-1235,20212669734,PE-RUC,MUNICIPALIDAD DISTRITAL DE HUANCASPATA
ocds-dgv273-seacev3-1247014,ocds-dgv273-seacev3-1247014-2026-09-05T13:36:57.365372-05:00,PE-CONSUCODE-205150,20609530279,PE-RUC,FOMENTO Y GESTIÓN SOSTENIBLE DE LA PRODUCCIÓN FORESTAL EN EL PERÚ
ocds-dgv273-seacev3-2026-2409-49,ocds-dgv273-seacev3-2026-2409-49-2026-09-05T13:36:26.798058-05:00,PE-CONSUCODE-2409,20100188628,PE-RUC,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.
ocds-dgv273-seacev3-1185163,ocds-dgv273-seacev3-1185163-2026-09-05T13:35:53.243611-05:00,PE-CONSUCODE-200464,20491617943,PE-RUC,GOBIERNO REGIONAL DE CAJAMARCA - UNIDAD DE GESTION EDUCATIVA LOCAL CAJAMARCA
ocds-dgv273-seacev3-1185911,ocds-dgv273-seacev3-1185911-2026-09-04T13:58:05.505788-05:00,PE-CONSUCODE-1884,20168778750,PE-RUC,MUNICIPALIDAD PROVINCIAL DE PURUS
ocds-dgv273-seacev3-1184595,ocds-dgv273-seacev3-1184595-2026-09-03T10:50:53.090462-05:00,PE-CONSUCODE-949,20199460375,PE-RUC,MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CORIS
ocds-dgv273-seacev3-2026-614-2,ocds-dgv273-seacev3-2026-614-2-2026-09-03T10:50:53.071410-05:00,PE-CONSUCODE-614,20143623042,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CAJAMARCA
ocds-dgv273-seacev3-2026-1320-13,ocds-dgv273-seacev3-2026-1320-13-2026-09-03T10:50:35.674070-05:00,PE-CONSUCODE-1320,20131365722,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA MOLINA
ocds-dgv273-seacev3-2026-775-2,ocds-dgv273-seacev3-2026-775-2-2026-09-03T10:49:23.245647-05:00,PE-CONSUCODE-775,20147303115,PE-RUC,MUNICIPALIDAD DISTRITAL DE LAMAY
ocds-dgv273-seacev3-1185834,ocds-dgv273-seacev3-1185834-2026-08-30T10:02:47.599381-05:00,PE-CONSUCODE-10457,20444054400,PE-RUC,GOBIERNO REGIONAL DE HUANCAVELICA-HOSPITAL DEPARTAMENTAL DE HUANCAVELICA
ocds-dgv273-seacev3-2026-1922-6,ocds-dgv273-seacev3-2026-1922-6-2026-08-30T10:02:47.556174-05:00,PE-CONSUCODE-1922,20131370564,PE-RUC,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP"
ocds-dgv273-seacev3-1184760,ocds-dgv273-seacev3-1184760-2026-08-30T10:02:36.769542-05:00,PE-CONSUCODE-402,20167246029,PE-RUC,MUNICIPALIDAD DISTRITAL LA JOYA
ocds-dgv273-seacev3-1185032,ocds-dgv273-seacev3-1185032-2026-08-30T10:02:36.630142-05:00,PE-CONSUCODE-842,20226560824,PE-RUC,MUNICIPALIDAD DISTRITAL DE CCATCCA
ocds-dgv273-seacev3-2026-200537-19,ocds-dgv273-seacev3-2026-200537-19-2026-08-30T10:02:36.616365-05:00,PE-CONSUCODE-200537,20551322590,PE-RUC,UNIDAD EJECUTORA 003 GESTION INTEGRAL DE LA CALIDAD AMBIENTAL
ocds-dgv273-seacev3-1184855,ocds-dgv273-seacev3-1184855-2026-08-29T10:11:06.402188-05:00,PE-CONSUCODE-226,20223022210,PE-RUC,MUNICIPALIDAD DISTRITAL DE UCO
ocds-dgv273-seacev3-1244136,ocds-dgv273-seacev3-1244136-2026-08-29T10:10:47.215744-05:00,PE-CONSUCODE-1878,20186751613,PE-RUC,MUNICIPALIDAD DISTRITAL DE SEPAHUA
ocds-dgv273-seacev3-1184917,ocds-dgv273-seacev3-1184917-2026-08-29T10:10:31.899256-05:00,PE-CONSUCODE-200306,20532480397,PE-RUC,GOBIERNO REGIONAL DE MOQUEGUA UNIDAD EJECUTORA SUB REGION DE DESARROLLO ILO Nº 003
ocds-dgv273-seacev3-1190013,ocds-dgv273-seacev3-1190013-2026-08-28T10:30:20.750951-05:00,PE-CONSUCODE-1320,20131365722,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA MOLINA
ocds-dgv273-seacev3-2026-1868-2,ocds-dgv273-seacev3-2026-1868-2-2026-08-28T10:29:57.736977-05:00,PE-CONSUCODE-1868,20172278079,PE-RUC,MUNICIPALIDAD DISTRITAL DE AGUAS VERDES
ocds-dgv273-seacev3-1207694,ocds-dgv273-seacev3-1207694-2026-08-28T10:29:50.104236-05:00,PE-CONSUCODE-1878,20186751613,PE-RUC,MUNICIPALIDAD DISTRITAL DE SEPAHUA
ocds-dgv273-seacev3-1184341,ocds-dgv273-seacev3-1184341-2026-08-28T10:29:12.181563-05:00,PE-CONSUCODE-686,20166727422,PE-RUC,MUNICIPALIDAD DISTRITAL DE CHUGUR
ocds-dgv273-seacev3-2026-200433-12,ocds-dgv273-seacev3-2026-200433-12-2026-08-26T10:29:01.229980-05:00,PE-CONSUCODE-200433,20456318429,PE-RUC,MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AREQUIPA
ocds-dgv273-seacev3-1185406,ocds-dgv273-seacev3-1185406-2026-08-26T10:28:50.153694-05:00,PE-CONSUCODE-1496,20176689359,PE-RUC,MUNICIPALIDAD DISTRITAL DE MANSERICHE
ocds-dgv273-seacev3-2026-1003013323-5,ocds-dgv273-seacev3-2026-1003013323-5-2026-08-23T10:34:10.993180-05:00,PE-CONSUCODE-201143,20556939781,PE-RUC,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS
ocds-dgv273-seacev3-2026-1062-10,ocds-dgv273-seacev3-2026-1062-10-2026-08-22T10:44:02.750803-05:00,PE-CONSUCODE-1062,20206518571,PE-RUC,MUNICIPALIDAD DISTRITAL DE HUMAY
ocds-dgv273-seacev3-1184920,ocds-dgv273-seacev3-1184920-2026-08-22T10:43:06.743846-05:00,PE-CONSUCODE-34,20498390570,PE-RUC,GOBIERNO REGIONAL DE AREQUIPA Sede Central
ocds-dgv273-seacev3-2026-1823-1,ocds-dgv273-seacev3-2026-1823-1-2026-08-22T10:42:45.292228-05:00,PE-CONSUCODE-1823,20168745231,PE-RUC,MUNICIPALIDAD PROVINCIAL DE TOCACHE
ocds-dgv273-seacev3-1220132,ocds-dgv273-seacev3-1220132-2026-08-21T10:31:05.504053-05:00,PE-CONSUCODE-1341,20131372427,PE-RUC,MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES
ocds-dgv273-seacev3-1189633,ocds-dgv273-seacev3-1189633-2026-08-21T10:30:18.965219-05:00,PE-CONSUCODE-1155,20146674403,PE-RUC,MUNICIPALIDAD PROVINCIAL DE SATIPO
ocds-dgv273-seacev3-1184913,ocds-dgv273-seacev3-1184913-2026-08-20T10:30:08.506551-05:00,PE-CONSUCODE-304,20191940513,PE-RUC,MUNICIPALIDAD DISTRITAL DE CULEBRAS
ocds-dgv273-seacev3-2026-1926-12,ocds-dgv273-seacev3-2026-1926-12-2026-08-19T10:31:35.283978-05:00,PE-CONSUCODE-1926,20122476309,PE-RUC,BANCO CENTRAL DE RESERVA DEL PERÚ
ocds-dgv273-seacev3-2026-1324-16,ocds-dgv273-seacev3-2026-1324-16-2026-08-19T10:31:13.137321-05:00,PE-CONSUCODE-1324,20131371455,PE-RUC,MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)
ocds-dgv273-seacev3-1186276,ocds-dgv273-seacev3-1186276-2026-08-18T10:20:26.490542-05:00,PE-CONSUCODE-200,20174929697,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CASMA
ocds-dgv273-seacev3-1185404,ocds-dgv273-seacev3-1185404-2026-08-16T10:07:48.265269-05:00,PE-CONSUCODE-1325,20131376767,PE-RUC,MUNICIPALIDAD DISTRITAL DE LURIN
ocds-dgv273-seacev3-2026-1212-11,ocds-dgv273-seacev3-2026-1212-11-2026-08-14T10:33:12.194290-05:00,PE-CONSUCODE-1212,20205367994,PE-RUC,MUNICIPALIDAD DISTRITAL DE CHUGAY
ocds-dgv273-seacev3-1185139,ocds-dgv273-seacev3-1185139-2026-08-14T10:32:49.961607-05:00,PE-CONSUCODE-1922,20131370564,PE-RUC,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP"
ocds-dgv273-seacev3-1185577,ocds-dgv273-seacev3-1185577-2026-08-14T10:32:15.928961-05:00,PE-CONSUCODE-43,20479569780,PE-RUC,GOBIERNO REGIONAL DE LAMBAYEQUE SEDE CENTRAL
ocds-dgv273-seacev3-2026-1874-8,ocds-dgv273-seacev3-2026-1874-8-2026-08-13T10:27:57.945565-05:00,PE-CONSUCODE-1874,20154435965,PE-RUC,MUNICIPALIDAD DISTRITAL DE YARINACOCHA
ocds-dgv273-seacev3-2026-1569-1,ocds-dgv273-seacev3-2026-1569-1-2026-08-13T10:27:57.642935-05:00,PE-CONSUCODE-1569,20154623290,PE-RUC,MUNICIPALIDAD PROVINCIAL DE DANIEL CARRION - YANAHUANCA
ocds-dgv273-seacev3-1185617,ocds-dgv273-seacev3-1185617-2026-08-13T10:27:35.925598-05:00,PE-CONSUCODE-22,20131373237,PE-RUC,MINISTERIO DE SALUD
ocds-dgv273-seacev3-2026-1320-10,ocds-dgv273-seacev3-2026-1320-10-2026-08-12T10:29:43.225309-05:00,PE-CONSUCODE-1320,20131365722,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA MOLINA
ocds-dgv273-seacev3-1184487,ocds-dgv273-seacev3-1184487-2026-08-07T10:22:33.165129-05:00,PE-CONSUCODE-200013,20479393568,PE-RUC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS
ocds-dgv273-seacev3-1185324,ocds-dgv273-seacev3-1185324-2026-08-06T10:26:55.558427-05:00,PE-CONSUCODE-1039,20146898697,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CHINCHA - CHINCHA ALTA
ocds-dgv273-seacev3-1184991,ocds-dgv273-seacev3-1184991-2026-08-06T10:26:44.444188-05:00,PE-CONSUCODE-656,20232258242,PE-RUC,MUNICIPALIDAD DISTRITAL DE PIMPINGOS
ocds-dgv273-seacev3-2026-1584-3,ocds-dgv273-seacev3-2026-1584-3-2026-08-06T10:26:44.203532-05:00,PE-CONSUCODE-1584,20154477374,PE-RUC,MUNICIPALIDAD PROVINCIAL DE PIURA
ocds-dgv273-seacev3-1225271,ocds-dgv273-seacev3-1225271-2026-08-05T10:26:25.477901-05:00,PE-CONSUCODE-27,20291973851,PE-RUC,OFICINA NACIONAL DE PROCESOS ELECTORALES
ocds-dgv273-seacev3-1185366,ocds-dgv273-seacev3-1185366-2026-08-05T10:25:56.782951-05:00,PE-CONSUCODE-1182,20174790320,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CHUPACA
ocds-dgv273-seacev3-1205774,ocds-dgv273-seacev3-1205774-2026-08-02T10:08:54.648231-05:00,PE-CONSUCODE-2437,20256136865,PE-RUC,SERVICIOS POSTALES DEL PERU S.A.
ocds-dgv273-seacev3-1237258,ocds-dgv273-seacev3-1237258-2026-08-02T10:08:47.141067-05:00,PE-CONSUCODE-1611,20105266988,PE-RUC,MUNICIPALIDAD PROVINCIAL DE MORROPON - CHULUCANAS
ocds-dgv273-seacev3-2026-1693-1,ocds-dgv273-seacev3-2026-1693-1-2026-08-02T10:08:41.959248-05:00,PE-CONSUCODE-1693,20191716397,PE-RUC,MUNICIPALIDAD DISTRITAL DE ZEPITA
ocds-dgv273-seacev3-2026-1883-1,ocds-dgv273-seacev3-2026-1883-1-2026-08-01T10:19:26.603733-05:00,PE-CONSUCODE-1883,20232953421,PE-RUC,MUNICIPALIDAD DISTRITAL DE CURIMANA
ocds-dgv273-seacev3-2026-690-2,ocds-dgv273-seacev3-2026-690-2-2026-07-26T10:08:01.586492-05:00,PE-CONSUCODE-690,20217197148,PE-RUC,MUNICIPALIDAD DISTRITAL DE COLASAY
ocds-dgv273-seacev3-1185145,ocds-dgv273-seacev3-1185145-2026-07-26T10:08:01.538194-05:00,PE-CONSUCODE-1592,20146736875,PE-RUC,MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE
ocds-dgv273-seacev3-1184656,ocds-dgv273-seacev3-1184656-2026-07-26T10:07:53.544629-05:00,PE-CONSUCODE-700,20148261572,PE-RUC,MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO
ocds-dgv273-seacev3-2026-1952-87,ocds-dgv273-seacev3-2026-1952-87-2026-07-24T10:24:08.405479-05:00,PE-CONSUCODE-1952,20419026809,PE-RUC,ORGANISMO ESPECIALIZADO PARA LAS CONTRATACIONES PUBLICAS EFICIENTES
ocds-dgv273-seacev3-2026-505-6,ocds-dgv273-seacev3-2026-505-6-2026-07-24T10:24:07.470283-05:00,PE-CONSUCODE-505,20143137296,PE-RUC,MUNICIPALIDAD PROVINCIAL DE HUAMANGA
ocds-dgv273-seacev3-1224712,ocds-dgv273-seacev3-1224712-2026-07-24T10:23:56.534912-05:00,PE-CONSUCODE-797,20181709066,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS
ocds-dgv273-seacev3-1185263,ocds-dgv273-seacev3-1185263-2026-07-24T10:23:55.612402-05:00,PE-CONSUCODE-991,20172361138,PE-RUC,MUNICIPALIDAD DISTRITAL DE CRESPO Y CASTILLO
ocds-dgv273-seacev3-2026-13-49,ocds-dgv273-seacev3-2026-13-49-2026-07-23T10:30:25.790412-05:00,PE-CONSUCODE-13,20131370645,PE-RUC,MINISTERIO DE ECONOMIA Y FINANZAS
ocds-dgv273-seacev3-2026-1648-9,ocds-dgv273-seacev3-2026-1648-9-2026-07-23T10:29:04.572029-05:00,PE-CONSUCODE-1648,20146247084,PE-RUC,MUNICIPALIDAD PROVINCIAL DE PUNO
ocds-dgv273-seacev3-2026-1339-3,ocds-dgv273-seacev3-2026-1339-3-2026-07-22T10:31:51.586610-05:00,PE-CONSUCODE-1339,20131378204,PE-RUC,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES
